sample_id,source_dataset,split,group_id,output_image,normalized_annotation,normalized_annotation_sha256,canonical_labels,mapping_version,license_id,target_annotation_count,mapping_strengths,segmentation_annotation_count,rejected_geometry_count,geometry_qc,task,eligibility,geometry
cif_0022,CiF-tiled,train,West_approach/PW22/ORE2020A_20200819_132850_PW22_IMGZOOM_DJI_20200819132849_0099_ZOOM.JPG,data/feasibility_v0/images/cif/cif_0022.jpg,data/feasibility_v0/normalized/cif_0022.json,ef53dd307262e4e0731d6c3fa198e11f7abab926c2919354d6dd11991c0298bc,crack,BDI-TAX-001@0.1.0-beta,CDLA-Permissive-2.0,1,direct,1,0,passed,classification,image_multilabel_from_source_annotations,image_labels
cif_0023,CiF-tiled,train,Ankerblock 18 Wall South (East to west)/DJI_20210824093713_0001_SUPR/DJI_20210824093912_0056_SUPR.JPG,data/feasibility_v0/images/cif/cif_0023.jpg,data/feasibility_v0/normalized/cif_0023.json,88add5d63a9275abec66bcd6cdcae713a676db3622c0bf6a17345d247201be7c,crack,BDI-TAX-001@0.1.0-beta,CDLA-Permissive-2.0,1,direct,1,0,passed,classification,image_multilabel_from_source_annotations,image_labels
cif_0024,CiF-tiled,train,Pille 06/S/DJI_20210616133323_0005_SUPR/DJI_20210616133436_0035_SUPR.JPG,data/feasibility_v0/images/cif/cif_0024.jpg,data/feasibility_v0/normalized/cif_0024.json,cce4943768faa93177cdd63bf3adaafbe8a1323b37a4cc2b8f5c54c8ce637541,crack,BDI-TAX-001@0.1.0-beta,CDLA-Permissive-2.0,1,direct,1,0,passed,classification,image_multilabel_from_source_annotations,image_labels
cif_0025,CiF-tiled,train,Pille 24/S/DJI_20210602103732_0007_SUPR/DJI_20210602103753_0010_SUPR.JPG,data/feasibility_v0/images/cif/cif_0025.jpg,data/feasibility_v0/normalized/cif_0025.json,3cd8a676c4c4d48d3e46af8aeaaaf37f63115551d1dc7378eb72635ef3fe3550,crack,BDI-TAX-001@0.1.0-beta,CDLA-Permissive-2.0,1,direct,1,0,passed,classification,image_multilabel_from_source_annotations,image_labels
cif_0026,CiF-tiled,train,Pille 25/N/DJI_20210601105131_0004_SUPR/DJI_20210601105211_0019_SUPR.JPG,data/feasibility_v0/images/cif/cif_0026.jpg,data/feasibility_v0/normalized/cif_0026.json,c19c0ce959dae43152551e9c67b331b5a84abda9bb940e9dd89181f59d8b0d17,rust_staining,BDI-TAX-001@0.1.0-beta,CDLA-Permissive-2.0,1,direct_visual,1,0,passed,classification,image_multilabel_from_source_annotations,image_labels
cif_0027,CiF-tiled,train,Steel/IMG_7551Resized_20170718102744.jpg,data/feasibility_v0/images/cif/cif_0027.jpg,data/feasibility_v0/normalized/cif_0027.json,79a8fe37e17eee87162c1516c6ee539760f2cf40e3ac5e801bb85ea6c5984e22,rust_staining,BDI-TAX-001@0.1.0-beta,CDLA-Permissive-2.0,6,direct_visual,6,0,passed,classification,image_multilabel_from_source_annotations,image_labels
cif_0028,CiF-tiled,train,Steel/IMG_2290Resized_20150731122756.jpg,data/feasibility_v0/images/cif/cif_0028.jpg,data/feasibility_v0/normalized/cif_0028.json,9b7e94c26b0198c93e2b9c046aa095e99bbe54a10ecf0031dc8f19b4c09c279e,rust_staining,BDI-TAX-001@0.1.0-beta,CDLA-Permissive-2.0,1,direct_visual,1,0,passed,classification,image_multilabel_from_source_annotations,image_labels
cif_0029,CiF-tiled,train,Steel/2014-11-26_IMG_5552Resized_20141209120039.jpg,data/feasibility_v0/images/cif/cif_0029.jpg,data/feasibility_v0/normalized/cif_0029.json,ea329fbe322becb9e44276c714c9de80a7494a29ecae30be67984feecb274702,rust_staining,BDI-TAX-001@0.1.0-beta,CDLA-Permissive-2.0,2,direct_visual,2,0,passed,classification,image_multilabel_from_source_annotations,image_labels
cif_0030,CiF-tiled,train,Pille 24/S/DJI_20210602102842_0004_SUPR/DJI_20210602102857_0007_SUPR.JPG,data/feasibility_v0/images/cif/cif_0030.jpg,data/feasibility_v0/normalized/cif_0030.json,40ba1be944d8d8428612336602b423dadac00530a37d6d6caa911d9fdf54a375,rust_staining,BDI-TAX-001@0.1.0-beta,CDLA-Permissive-2.0,1,direct_visual,1,0,passed,classification,image_multilabel_from_source_annotations,image_labels
cif_0031,CiF-tiled,train,Pille 26/N/DJI_20210601100740_0003_SUPR/DJI_20210601100813_0015_SUPR.JPG,data/feasibility_v0/images/cif/cif_0031.jpg,data/feasibility_v0/normalized/cif_0031.json,2d87ebd571d5086e50fd09583ff3e90c6360ca2233bc0af74cd38f032d5ba681,rust_staining,BDI-TAX-001@0.1.0-beta,CDLA-Permissive-2.0,2,direct_visual,2,0,passed,classification,image_multilabel_from_source_annotations,image_labels
cif_0032,CiF-tiled,train,VF-BROPILLE_15-182.JPG,data/feasibility_v0/images/cif/cif_0032.jpg,data/feasibility_v0/normalized/cif_0032.json,be2fb4a12adc85d1976f15458612c80a58d358b6f8fc53145c0a4d137f5f75ea,rust_staining|spalling,BDI-TAX-001@0.1.0-beta,CDLA-Permissive-2.0,3,direct|direct_visual,3,0,passed,classification,image_multilabel_from_source_annotations,image_labels
cif_0033,CiF-tiled,train,DJI_202211181054_014_Side of the bridge_ Zoom10/DJI_20221118110918_0007_SUPR/DJI_20221118110927_0004_SUPR.JPG,data/feasibility_v0/images/cif/cif_0033.jpg,data/feasibility_v0/normalized/cif_0033.json,9a2715eb3083fded789d89393f177503d87cf8da0e8c0183cb12374655f8e547,rust_staining,BDI-TAX-001@0.1.0-beta,CDLA-Permissive-2.0,1,direct_visual,1,0,passed,classification,image_multilabel_from_source_annotations,image_labels
cif_0034,CiF-tiled,train,Steel/00012256_20060703_f1000001_20130320180000.jpg,data/feasibility_v0/images/cif/cif_0034.jpg,data/feasibility_v0/normalized/cif_0034.json,972c7c52bbae5803b5dc6711450a5d41f3873416568ada7a861acb2d61d9cc0d,crack|rust_staining,BDI-TAX-001@0.1.0-beta,CDLA-Permissive-2.0,3,direct|direct_visual,3,0,passed,classification,image_multilabel_from_source_annotations,image_labels
cif_0035,CiF-tiled,train,Concrete/00012289_20050202_f0500002_20130320180000.jpg,data/feasibility_v0/images/cif/cif_0035.jpg,data/feasibility_v0/normalized/cif_0035.json,de7a41663b067f905552047d2b9f1abc40d655393ea9322fe0d6e016dd5047ae,rust_staining|spalling,BDI-TAX-001@0.1.0-beta,CDLA-Permissive-2.0,3,direct|direct_visual,3,0,passed,classification,image_multilabel_from_source_annotations,image_labels
cif_0036,CiF-tiled,train,Steel/IMG_0177Resized_20170908082810.jpg,data/feasibility_v0/images/cif/cif_0036.jpg,data/feasibility_v0/normalized/cif_0036.json,d4b1bc9b9f0c7eb022b879a97b7dcf429621b7536ecd5fb1d7adc03c3cf941fb,rust_staining|spalling,BDI-TAX-001@0.1.0-beta,CDLA-Permissive-2.0,7,direct|direct_visual,7,0,passed,classification,image_multilabel_from_source_annotations,image_labels
cif_0037,CiF-tiled,train,Steel/00012261_20060515_f1500001_20130320180000.jpg,data/feasibility_v0/images/cif/cif_0037.jpg,data/feasibility_v0/normalized/cif_0037.json,1793f35c78d2dccf15f555a5872d95cd1f9d6d804c9fcaf3ecc3a641f49e0411,rust_staining|spalling,BDI-TAX-001@0.1.0-beta,CDLA-Permissive-2.0,2,direct|direct_visual,2,0,passed,classification,image_multilabel_from_source_annotations,image_labels
cif_0038,CiF-tiled,train,Steel/00013601_20050208_f0700001_20130320180000.jpg,data/feasibility_v0/images/cif/cif_0038.jpg,data/feasibility_v0/normalized/cif_0038.json,43462918f67bea1f826a5f95791808af374f274646f8d938098c5edb34e33997,rust_staining,BDI-TAX-001@0.1.0-beta,CDLA-Permissive-2.0,12,direct_visual,12,1,passed,classification,image_multilabel_from_source_annotations,image_labels
cif_0039,CiF-tiled,train,Concrete/00012270_20060608_f0700002_20130320180000.jpg,data/feasibility_v0/images/cif/cif_0039.jpg,data/feasibility_v0/normalized/cif_0039.json,86a2ed7eb21e31ae044b5e0aa5ab769755efd6256c33a5fb264beab40f774175,rust_staining,BDI-TAX-001@0.1.0-beta,CDLA-Permissive-2.0,1,direct_visual,1,0,passed,classification,image_multilabel_from_source_annotations,image_labels
cif_0040,CiF-tiled,train,North Face/Section CE/DJI_20230419102120_0006_SUPR/DJI_20230419102129_0004_SUPR.JPG,data/feasibility_v0/images/cif/cif_0040.jpg,data/feasibility_v0/normalized/cif_0040.json,f6202d040fe5be06dbc3cb6f62893607dc7dc2b73ecd283fc9c3ed92467a764a,rust_staining|spalling,BDI-TAX-001@0.1.0-beta,CDLA-Permissive-2.0,2,direct|direct_visual,2,0,passed,classification,image_multilabel_from_source_annotations,image_labels
cif_0041,CiF-tiled,train,Pillar EAST/E/DJI_20230419162352_0007_SUPR/DJI_20230419162422_0014_SUPR.JPG,data/feasibility_v0/images/cif/cif_0041.jpg,data/feasibility_v0/normalized/cif_0041.json,2c37f10e170127c839a6af5737c936e962f8b642687d240dca3eb35c15e181fd,rust_staining,BDI-TAX-001@0.1.0-beta,CDLA-Permissive-2.0,1,direct_visual,1,0,passed,classification,image_multilabel_from_source_annotations,image_labels
cif_0042,CiF-tiled,train,North Face/Section W/DJI_20230419094208_0006_SUPR/DJI_20230419094315_0033_SUPR.JPG,data/feasibility_v0/images/cif/cif_0042.jpg,data/feasibility_v0/normalized/cif_0042.json,350202187c8f0628ef88f922215333309f73b2caff0902877beb9083b05027a2,rust_staining|spalling,BDI-TAX-001@0.1.0-beta,CDLA-Permissive-2.0,2,direct|direct_visual,2,0,passed,classification,image_multilabel_from_source_annotations,image_labels
cif_0043,CiF-tiled,train,Steel/IMG_4237Resized_20160704153006.jpg,data/feasibility_v0/images/cif/cif_0043.jpg,data/feasibility_v0/normalized/cif_0043.json,f940c8c29205c2d200eb45faad78111dc1d0a1c0d5b982886740bd29b45ad33b,rust_staining,BDI-TAX-001@0.1.0-beta,CDLA-Permissive-2.0,1,direct_visual,1,0,passed,classification,image_multilabel_from_source_annotations,image_labels
cif_0044,CiF-tiled,train,Pille 26/N/DJI_20210601100740_0003_SUPR/DJI_20210601100830_0023_SUPR.JPG,data/feasibility_v0/images/cif/cif_0044.jpg,data/feasibility_v0/normalized/cif_0044.json,dc3f33fa16f470830e815e3e3a501493ce1f0eb2add44a439b772413fc2c0d8c,rust_staining,BDI-TAX-001@0.1.0-beta,CDLA-Permissive-2.0,1,direct_visual,1,0,passed,classification,image_multilabel_from_source_annotations,image_labels
cif_0045,CiF-tiled,train,Steel/P1030922Resized_20130412095238.jpg,data/feasibility_v0/images/cif/cif_0045.jpg,data/feasibility_v0/normalized/cif_0045.json,f46c4f7c11ac9b6822a1c3f26c551133ccff8b152d1357d6b73b7dfb87162eac,rust_staining,BDI-TAX-001@0.1.0-beta,CDLA-Permissive-2.0,1,direct_visual,1,0,passed,classification,image_multilabel_from_source_annotations,image_labels
cif_0046,CiF-tiled,train,Pille 26/N/DJI_20210601101321_0007_SUPR/DJI_20210601101328_0003_SUPR.JPG,data/feasibility_v0/images/cif/cif_0046.jpg,data/feasibility_v0/normalized/cif_0046.json,dac38f5452431589e7901ae67d26ab5500cf1a6160d5d60bc767d7c550584c43,spalling,BDI-TAX-001@0.1.0-beta,CDLA-Permissive-2.0,1,direct,1,0,passed,classification,image_multilabel_from_source_annotations,image_labels
cif_0047,CiF-tiled,train,West_approach/PW08/ORE2020A_20200807_005536_PW08_IMGZOOM_DJI_20200807005535_0322_ZOOM.JPG,data/feasibility_v0/images/cif/cif_0047.jpg,data/feasibility_v0/normalized/cif_0047.json,6647883f8851606428a24e24df01b9bc5a0745fa6aa2583023a21aa3dffe8ebf,spalling,BDI-TAX-001@0.1.0-beta,CDLA-Permissive-2.0,1,direct,1,0,passed,classification,image_multilabel_from_source_annotations,image_labels
cif_0048,CiF-tiled,train,DJI_202211181054_014_Side of the bridge_ Zoom10/DJI_20221118111422_0009_SUPR/DJI_20221118111556_0046_SUPR.JPG,data/feasibility_v0/images/cif/cif_0048.jpg,data/feasibility_v0/normalized/cif_0048.json,037b17cfbce2c52085fa4913359e0078c7be312e5c48fdb7b3d4e8c9a7c9ea6a,spalling,BDI-TAX-001@0.1.0-beta,CDLA-Permissive-2.0,1,direct,1,0,passed,classification,image_multilabel_from_source_annotations,image_labels
cif_0049,CiF-tiled,train,Ankerblock 18 Wall South (East to west)/DJI_20210824094315_0002_SUPR/DJI_20210824094437_0038_SUPR.JPG,data/feasibility_v0/images/cif/cif_0049.jpg,data/feasibility_v0/normalized/cif_0049.json,292f82d0f2011f81b937412e23b5d27de2e39157bd64649f1336319f7330e838,spalling,BDI-TAX-001@0.1.0-beta,CDLA-Permissive-2.0,1,direct,1,0,passed,classification,image_multilabel_from_source_annotations,image_labels
cif_0050,CiF-tiled,train,North Face/Section CW/DJI_20230419100122_0015_SUPR/DJI_20230419100147_0012_SUPR.JPG,data/feasibility_v0/images/cif/cif_0050.jpg,data/feasibility_v0/normalized/cif_0050.json,72301484915344fec03d3142d4c59989e95cd4ea644c2b4d653791244c055fb6,spalling,BDI-TAX-001@0.1.0-beta,CDLA-Permissive-2.0,2,direct,2,0,passed,classification,image_multilabel_from_source_annotations,image_labels
cif_0051,CiF-tiled,train,DJI_202211181054_014_Side of the bridge_ Zoom10/DJI_20221118110207_0003_SUPR/DJI_20221118110255_0023_SUPR.JPG,data/feasibility_v0/images/cif/cif_0051.jpg,data/feasibility_v0/normalized/cif_0051.json,1f10f1675c57b09d20c32c11dcfd49b51956b979c747f9d08ed5c835f3155308,spalling,BDI-TAX-001@0.1.0-beta,CDLA-Permissive-2.0,4,direct,4,0,passed,classification,image_multilabel_from_source_annotations,image_labels
cif_0052,CiF-tiled,train,North Face/Section W/DJI_20230419094039_0005_SUPR/DJI_20230419094134_0027_SUPR.JPG,data/feasibility_v0/images/cif/cif_0052.jpg,data/feasibility_v0/normalized/cif_0052.json,1ee7b320b87445863e41bc5ce50c423248fa3ce605e81f16413ea06a0931fe3c,spalling,BDI-TAX-001@0.1.0-beta,CDLA-Permissive-2.0,1,direct,1,0,passed,classification,image_multilabel_from_source_annotations,image_labels
cif_0053,CiF-tiled,train,002/dump1/IMG_1039.jpg,data/feasibility_v0/images/cif/cif_0053.jpg,data/feasibility_v0/normalized/cif_0053.json,19815d112a00a71a53faf125574a1288d0b22718511429406d14d3f397961837,spalling,BDI-TAX-001@0.1.0-beta,CDLA-Permissive-2.0,1,direct,1,0,passed,classification,image_multilabel_from_source_annotations,image_labels
cif_0054,CiF-tiled,train,West_approach/PW22/ORE2020A_20200819_140152_PW22_IMGZOOM_DJI_20200819140151_0455_ZOOM.JPG,data/feasibility_v0/images/cif/cif_0054.jpg,data/feasibility_v0/normalized/cif_0054.json,6b41718414ec6a0173e40e9c9e755897746c3366c44b359fd4015278941943eb,spalling,BDI-TAX-001@0.1.0-beta,CDLA-Permissive-2.0,2,direct,2,0,passed,classification,image_multilabel_from_source_annotations,image_labels
cif_0055,CiF-tiled,train,004/dump3/IMG_8953.jpg,data/feasibility_v0/images/cif/cif_0055.jpg,data/feasibility_v0/normalized/cif_0055.json,f25ce8e1b2b15d8a13cc828039525608454f89474a2b357f6d29964f6c534a35,crack|spalling,BDI-TAX-001@0.1.0-beta,CDLA-Permissive-2.0,3,direct,3,0,passed,classification,image_multilabel_from_source_annotations,image_labels
cif_0056,CiF-tiled,train,Pille 26/N/DJI_20210601101131_0006_SUPR/DJI_20210601101231_0028_SUPR.JPG,data/feasibility_v0/images/cif/cif_0056.jpg,data/feasibility_v0/normalized/cif_0056.json,e298bc6c4e55fbee7a68c15484d126e200adab08c535f7bad508982a7c6acb6a,spalling,BDI-TAX-001@0.1.0-beta,CDLA-Permissive-2.0,1,direct,1,0,passed,classification,image_multilabel_from_source_annotations,image_labels
cif_0057,CiF-tiled,train,North Face/Section W/DJI_20230419093501_0001_SUPR/DJI_20230419093531_0014_SUPR.JPG,data/feasibility_v0/images/cif/cif_0057.jpg,data/feasibility_v0/normalized/cif_0057.json,114a554deefea547daddf2cbb5962d166c1f4a405eb7785ddfb61ee03378929c,crack|spalling,BDI-TAX-001@0.1.0-beta,CDLA-Permissive-2.0,3,direct,3,0,passed,classification,image_multilabel_from_source_annotations,image_labels
cif_0058,CiF-tiled,train,Pille 26/N/DJI_20210601101131_0006_SUPR/DJI_20210601101153_0010_SUPR.JPG,data/feasibility_v0/images/cif/cif_0058.jpg,data/feasibility_v0/normalized/cif_0058.json,c0f6586afccba9c9d1cc9fd3c68a10349e0a179cbb34e50dca5527a096b1010b,spalling,BDI-TAX-001@0.1.0-beta,CDLA-Permissive-2.0,1,direct,1,0,passed,classification,image_multilabel_from_source_annotations,image_labels
cif_0059,CiF-tiled,train,Pille 25/N/DJI_20210601105131_0004_SUPR/DJI_20210601105257_0041_SUPR.JPG,data/feasibility_v0/images/cif/cif_0059.jpg,data/feasibility_v0/normalized/cif_0059.json,7c051a2ccc743e8e1a702bc9ce95e238065c615b4b1445e0164373e5e4066370,spalling,BDI-TAX-001@0.1.0-beta,CDLA-Permissive-2.0,2,direct,2,0,passed,classification,image_multilabel_from_source_annotations,image_labels
cif_0060,CiF-tiled,train,DJI_202211181054_014_Side of the bridge_ Zoom10/DJI_20221118111422_0009_SUPR/DJI_20221118111600_0048_SUPR.JPG,data/feasibility_v0/images/cif/cif_0060.jpg,data/feasibility_v0/normalized/cif_0060.json,3093f54f5fc050e64a33a2ed3ece64d2c6e9d6b5baca5cbb7ea503f5b50371be,spalling,BDI-TAX-001@0.1.0-beta,CDLA-Permissive-2.0,2,direct,2,0,passed,classification,image_multilabel_from_source_annotations,image_labels
cif_0061,CiF-tiled,train,LB-FAG_14_U-414.jpg,data/feasibility_v0/images/cif/cif_0061.jpg,data/feasibility_v0/normalized/cif_0061.json,795c39f84b48ab53de1f75746df780b4eded673ccbd9b9ddc4973f17ac2088a2,crack|spalling,BDI-TAX-001@0.1.0-beta,CDLA-Permissive-2.0,2,direct,2,0,passed,classification,image_multilabel_from_source_annotations,image_labels
