sample_id,source_dataset,source_version,source_image_id,parent_image_id,group_id,split,capture_mode,asset_domain,annotation_type,native_labels,canonical_labels,annotation_status,mapping_version,license_id,quality_flags,sha256,output_image,normalized_annotation,normalized_annotation_sha256,target_annotation_count,segmentation_annotation_count,geometry_qc,test_locked,task,eligibility,geometry
cubit_train_cr1_1012,CUBIT-InSeg,official_2026_release,CR1_1012,CR1_1012,cubit:train:cr1_1012,train,uav_rgb,building_facade,instance_polygon,crack,crack,positive,BDI-TAX-001@0.1.0-beta,CC-BY-4.0,cubit_exact_dedup|unresolved_near_duplicates_excluded|test_locked,71e91a07522ba590ec7903b3ac4e0131e740fd29b6abfbbf48a255a4788d1d40,data/v1/images/cubit/cubit_train_cr1_1012.jpg,data/v1/annotations/cubit/cubit_train_cr1_1012.json,08bc31d6e9d2d5f0e7097344040aad5b4d76b9e5afef8bf01369e18062c4d399,11,11,passed,false,detection,native_box_or_box_derived_from_genuine_mask,box_xywh
cubit_train_cr1_1013,CUBIT-InSeg,official_2026_release,CR1_1013,CR1_1013,cubit:train:cr1_1013,train,uav_rgb,building_facade,instance_polygon,crack,crack,positive,BDI-TAX-001@0.1.0-beta,CC-BY-4.0,cubit_exact_dedup|unresolved_near_duplicates_excluded|test_locked,0b1ec4f8a494ab57f03af6841dd4c95222dcea2e0b014abb33ed522e419bb195,data/v1/images/cubit/cubit_train_cr1_1013.jpg,data/v1/annotations/cubit/cubit_train_cr1_1013.json,df368877a96efafce7478110c40efde2ce61f4b35cae9b53a56235aec24947bf,11,11,passed,false,detection,native_box_or_box_derived_from_genuine_mask,box_xywh
cubit_train_cr1_1016,CUBIT-InSeg,official_2026_release,CR1_1016,CR1_1016,cubit:train:cr1_1016,train,uav_rgb,building_facade,instance_polygon,crack,crack,positive,BDI-TAX-001@0.1.0-beta,CC-BY-4.0,cubit_exact_dedup|unresolved_near_duplicates_excluded|test_locked,c038e6f8e6fa3142a2eb1f7417d22e09653ac0a3d7d39fd274f13bbc7ae3ad9a,data/v1/images/cubit/cubit_train_cr1_1016.jpg,data/v1/annotations/cubit/cubit_train_cr1_1016.json,ecf6633861c6bb737972c2836c4d06b43f1414c8fa048317d5f1e90333d57fb1,11,11,passed,false,detection,native_box_or_box_derived_from_genuine_mask,box_xywh
cubit_train_cr1_1017,CUBIT-InSeg,official_2026_release,CR1_1017,CR1_1017,cubit:train:cr1_1017,train,uav_rgb,building_facade,instance_polygon,crack,crack,positive,BDI-TAX-001@0.1.0-beta,CC-BY-4.0,cubit_exact_dedup|unresolved_near_duplicates_excluded|test_locked,3afb5add12bcf9d6fa18cda094a0a0b8089670916c050f9c18160e88e8702662,data/v1/images/cubit/cubit_train_cr1_1017.jpg,data/v1/annotations/cubit/cubit_train_cr1_1017.json,36ce12ee8feabb10a82f93fa6f250a386bdcbfef9aedfdd6bf72ba67b8f19831,9,9,passed,false,detection,native_box_or_box_derived_from_genuine_mask,box_xywh
cubit_train_cr1_1018,CUBIT-InSeg,official_2026_release,CR1_1018,CR1_1018,cubit:train:cr1_1018,train,uav_rgb,building_facade,instance_polygon,crack,crack,positive,BDI-TAX-001@0.1.0-beta,CC-BY-4.0,cubit_exact_dedup|unresolved_near_duplicates_excluded|test_locked,b0d27b261d3c928a86854e1619f293c94299aa370ddaecf0e0b8851bec6381d5,data/v1/images/cubit/cubit_train_cr1_1018.jpg,data/v1/annotations/cubit/cubit_train_cr1_1018.json,f8bf1b4249a6980b112824a531abc480ca0a5a7c829f906783d3ad779fc740c0,9,9,passed,false,detection,native_box_or_box_derived_from_genuine_mask,box_xywh
cubit_train_cr1_1019,CUBIT-InSeg,official_2026_release,CR1_1019,CR1_1019,cubit:train:cr1_1019,train,uav_rgb,building_facade,instance_polygon,crack,crack,positive,BDI-TAX-001@0.1.0-beta,CC-BY-4.0,cubit_exact_dedup|unresolved_near_duplicates_excluded|test_locked,91a5cbe95324bd87fa79bd105ff98920cfa8d75c316ec8cfff8236ac17ece7c7,data/v1/images/cubit/cubit_train_cr1_1019.jpg,data/v1/annotations/cubit/cubit_train_cr1_1019.json,1d4b1c768057a5e664dbdb86a611b728a279c232c219f67fae93dfe782fc1553,9,9,passed,false,detection,native_box_or_box_derived_from_genuine_mask,box_xywh
cubit_train_cr1_102,CUBIT-InSeg,official_2026_release,CR1_102,CR1_102,cubit:train:cr1_102,train,uav_rgb,building_facade,instance_polygon,crack,crack,positive,BDI-TAX-001@0.1.0-beta,CC-BY-4.0,cubit_exact_dedup|unresolved_near_duplicates_excluded|test_locked,a491b92569d6ac033c8573da662a5d6e6d678af094af218b480b21d81603bec8,data/v1/images/cubit/cubit_train_cr1_102.jpg,data/v1/annotations/cubit/cubit_train_cr1_102.json,383a53689b29e132a6fa3e53227471b57e501741c408dde889773607bc68bd70,9,9,passed,false,detection,native_box_or_box_derived_from_genuine_mask,box_xywh
cubit_train_cr1_1020,CUBIT-InSeg,official_2026_release,CR1_1020,CR1_1020,cubit:train:cr1_1020,train,uav_rgb,building_facade,instance_polygon,crack,crack,positive,BDI-TAX-001@0.1.0-beta,CC-BY-4.0,cubit_exact_dedup|unresolved_near_duplicates_excluded|test_locked,4c65e4b7c97499ac54b4d9e89d74b92f03f6ef4e638321b74393bc92178af27b,data/v1/images/cubit/cubit_train_cr1_1020.jpg,data/v1/annotations/cubit/cubit_train_cr1_1020.json,880413c7285cd33d0a6478928eefdb20d08b08f8dd019fbb9d8f38d2df99ba83,9,9,passed,false,detection,native_box_or_box_derived_from_genuine_mask,box_xywh
cubit_train_cr1_1022,CUBIT-InSeg,official_2026_release,CR1_1022,CR1_1022,cubit:train:cr1_1022,train,uav_rgb,building_facade,instance_polygon,crack,crack,positive,BDI-TAX-001@0.1.0-beta,CC-BY-4.0,cubit_exact_dedup|unresolved_near_duplicates_excluded|test_locked,7e61c76d24d7ee9e6b623d5d0aae103c6c575725c10766a246d70ed45828f5c2,data/v1/images/cubit/cubit_train_cr1_1022.jpg,data/v1/annotations/cubit/cubit_train_cr1_1022.json,34c7cac90f0adc89196c92ba750e8f927a73e81a8dad9c435364d2d2abbb9916,9,9,passed,false,detection,native_box_or_box_derived_from_genuine_mask,box_xywh
cubit_train_cr1_1023,CUBIT-InSeg,official_2026_release,CR1_1023,CR1_1023,cubit:train:cr1_1023,train,uav_rgb,building_facade,instance_polygon,crack,crack,positive,BDI-TAX-001@0.1.0-beta,CC-BY-4.0,cubit_exact_dedup|unresolved_near_duplicates_excluded|test_locked,6a6af221ffbf0e0c2de4f4dab5f1495248adc8dbafdb4385f8227707252518c1,data/v1/images/cubit/cubit_train_cr1_1023.jpg,data/v1/annotations/cubit/cubit_train_cr1_1023.json,79c4d257baf02f05e754774c25f95098ac4aedd87296416bd1f414110c66ee1a,11,11,passed,false,detection,native_box_or_box_derived_from_genuine_mask,box_xywh
cubit_train_cr1_1024,CUBIT-InSeg,official_2026_release,CR1_1024,CR1_1024,cubit:train:cr1_1024,train,uav_rgb,building_facade,instance_polygon,crack,crack,positive,BDI-TAX-001@0.1.0-beta,CC-BY-4.0,cubit_exact_dedup|unresolved_near_duplicates_excluded|test_locked,58bc19da5a43d4102a3ce2623badbff3dd458190c0d49f606cf03b56ba95a0c8,data/v1/images/cubit/cubit_train_cr1_1024.jpg,data/v1/annotations/cubit/cubit_train_cr1_1024.json,fb1659746f3865052632acd9cdc78eddb6f0cfa50c4f8f3f902e032178930689,11,11,passed,false,detection,native_box_or_box_derived_from_genuine_mask,box_xywh
cubit_train_cr1_1025,CUBIT-InSeg,official_2026_release,CR1_1025,CR1_1025,cubit:train:cr1_1025,train,uav_rgb,building_facade,instance_polygon,crack,crack,positive,BDI-TAX-001@0.1.0-beta,CC-BY-4.0,cubit_exact_dedup|unresolved_near_duplicates_excluded|test_locked,b7eead96cf9517ad1fccdb66ee05b41847de65a5309e85c403f659ae09c432e4,data/v1/images/cubit/cubit_train_cr1_1025.jpg,data/v1/annotations/cubit/cubit_train_cr1_1025.json,505a367a27ea272e03aa0bc501d80115a527f8fa0353182faf89d945074679df,10,10,passed,false,detection,native_box_or_box_derived_from_genuine_mask,box_xywh
cubit_train_cr1_1029,CUBIT-InSeg,official_2026_release,CR1_1029,CR1_1029,cubit:train:cr1_1029,train,uav_rgb,building_facade,instance_polygon,crack,crack,positive,BDI-TAX-001@0.1.0-beta,CC-BY-4.0,cubit_exact_dedup|unresolved_near_duplicates_excluded|test_locked,fd803e2855b601745e0647ed5df6566054339d5d4d04e4ea42a25d3fff0cda5e,data/v1/images/cubit/cubit_train_cr1_1029.jpg,data/v1/annotations/cubit/cubit_train_cr1_1029.json,66162c5f6b6268e1079e15e99b781e3c0e47a92c28776c87b0334ebef01f4b9e,12,12,passed,false,detection,native_box_or_box_derived_from_genuine_mask,box_xywh
cubit_train_cr1_103,CUBIT-InSeg,official_2026_release,CR1_103,CR1_103,cubit:train:cr1_103,train,uav_rgb,building_facade,instance_polygon,crack,crack,positive,BDI-TAX-001@0.1.0-beta,CC-BY-4.0,cubit_exact_dedup|unresolved_near_duplicates_excluded|test_locked,cd2fa9d2a4fbf6ab319bcbf38b970455a0fab6fdfc5d4f51bb80222dd82a6d12,data/v1/images/cubit/cubit_train_cr1_103.jpg,data/v1/annotations/cubit/cubit_train_cr1_103.json,31b6318da863b2c4d018223975926df518fc608751370ba1871df9fe5c3bc34b,9,9,passed,false,detection,native_box_or_box_derived_from_genuine_mask,box_xywh
cubit_train_cr1_1030,CUBIT-InSeg,official_2026_release,CR1_1030,CR1_1030,cubit:train:cr1_1030,train,uav_rgb,building_facade,instance_polygon,crack,crack,positive,BDI-TAX-001@0.1.0-beta,CC-BY-4.0,cubit_exact_dedup|unresolved_near_duplicates_excluded|test_locked,42839fe498f71c078ad698007d39b39d5badefacd4f23bdbe735d4fa2ddc905d,data/v1/images/cubit/cubit_train_cr1_1030.jpg,data/v1/annotations/cubit/cubit_train_cr1_1030.json,1db80e033db5bbaf7d367e2e013e4061c97038059f3962954750b35ad5a4daa3,12,12,passed,false,detection,native_box_or_box_derived_from_genuine_mask,box_xywh
cubit_train_cr1_1031,CUBIT-InSeg,official_2026_release,CR1_1031,CR1_1031,cubit:train:cr1_1031,train,uav_rgb,building_facade,instance_polygon,crack,crack,positive,BDI-TAX-001@0.1.0-beta,CC-BY-4.0,cubit_exact_dedup|unresolved_near_duplicates_excluded|test_locked,25c467a68b18bd4d7c5e6bc538b9239807050af40e9ed090a5dde86e67072550,data/v1/images/cubit/cubit_train_cr1_1031.jpg,data/v1/annotations/cubit/cubit_train_cr1_1031.json,86c29b74e742ab87c44108da0a4f059dd698be886cd4fe4bd4deb1af9e002be0,10,10,passed,false,detection,native_box_or_box_derived_from_genuine_mask,box_xywh
cubit_train_cr1_1032,CUBIT-InSeg,official_2026_release,CR1_1032,CR1_1032,cubit:train:cr1_1032,train,uav_rgb,building_facade,instance_polygon,crack,crack,positive,BDI-TAX-001@0.1.0-beta,CC-BY-4.0,cubit_exact_dedup|unresolved_near_duplicates_excluded|test_locked,c201c4d67eb4459c6f9309de8ceab0efa317084eae452d03097b8178acd72ae4,data/v1/images/cubit/cubit_train_cr1_1032.jpg,data/v1/annotations/cubit/cubit_train_cr1_1032.json,1b82a3086dc4f493cfc9c34e1ea62d1b653dca8423d82fb4b0ca165a4e760c08,10,10,passed,false,detection,native_box_or_box_derived_from_genuine_mask,box_xywh
cubit_train_cr1_1033,CUBIT-InSeg,official_2026_release,CR1_1033,CR1_1033,cubit:train:cr1_1033,train,uav_rgb,building_facade,instance_polygon,crack,crack,positive,BDI-TAX-001@0.1.0-beta,CC-BY-4.0,cubit_exact_dedup|unresolved_near_duplicates_excluded|test_locked,54ea162b09b572f447012e248845dca55e0f5bc530280e0901f09ef2151c2fa8,data/v1/images/cubit/cubit_train_cr1_1033.jpg,data/v1/annotations/cubit/cubit_train_cr1_1033.json,ecad24d2398e8691f45a2307aeb0abe6f64214d2878a2c4f98ebdca841f3986b,9,9,passed,false,detection,native_box_or_box_derived_from_genuine_mask,box_xywh
cubit_train_cr1_1034,CUBIT-InSeg,official_2026_release,CR1_1034,CR1_1034,cubit:train:cr1_1034,train,uav_rgb,building_facade,instance_polygon,crack,crack,positive,BDI-TAX-001@0.1.0-beta,CC-BY-4.0,cubit_exact_dedup|unresolved_near_duplicates_excluded|test_locked,c0b4def9cace53f74544d547a7bc51945cc66a63e9cb72683ea8cd6e9b465ea3,data/v1/images/cubit/cubit_train_cr1_1034.jpg,data/v1/annotations/cubit/cubit_train_cr1_1034.json,c5e38188bad3648ada181520b97974d230155f64af6bfc37aa911fec2aedfa8a,7,7,passed,false,detection,native_box_or_box_derived_from_genuine_mask,box_xywh
cubit_train_cr1_1035,CUBIT-InSeg,official_2026_release,CR1_1035,CR1_1035,cubit:train:cr1_1035,train,uav_rgb,building_facade,instance_polygon,crack,crack,positive,BDI-TAX-001@0.1.0-beta,CC-BY-4.0,cubit_exact_dedup|unresolved_near_duplicates_excluded|test_locked,030c0f6a2f2c602755ca30f41a6912055eebb578629c7c168628b25153cc2fcf,data/v1/images/cubit/cubit_train_cr1_1035.jpg,data/v1/annotations/cubit/cubit_train_cr1_1035.json,9aec39990a197459ed42193e3a12b9f7fed211ed8ca0d3ff150f71093da7cd7d,8,8,passed,false,detection,native_box_or_box_derived_from_genuine_mask,box_xywh
cubit_train_cr1_1037,CUBIT-InSeg,official_2026_release,CR1_1037,CR1_1037,cubit:train:cr1_1037,train,uav_rgb,building_facade,instance_polygon,crack,crack,positive,BDI-TAX-001@0.1.0-beta,CC-BY-4.0,cubit_exact_dedup|unresolved_near_duplicates_excluded|test_locked,e949dd6d08588fc55855fad83c055aed7e1de74b9b7957095a29bd2bcdddbae4,data/v1/images/cubit/cubit_train_cr1_1037.jpg,data/v1/annotations/cubit/cubit_train_cr1_1037.json,46831cd4379f571b1070451bfe0ec6879e34aa0fd470ef1e468ba18d08523593,8,8,passed,false,detection,native_box_or_box_derived_from_genuine_mask,box_xywh
cubit_train_cr1_1038,CUBIT-InSeg,official_2026_release,CR1_1038,CR1_1038,cubit:train:cr1_1038,train,uav_rgb,building_facade,instance_polygon,crack,crack,positive,BDI-TAX-001@0.1.0-beta,CC-BY-4.0,cubit_exact_dedup|unresolved_near_duplicates_excluded|test_locked,da24e72d7fe8bb8cfad78dfc61aa65f51bc07903dd45863b681b281628190e1a,data/v1/images/cubit/cubit_train_cr1_1038.jpg,data/v1/annotations/cubit/cubit_train_cr1_1038.json,3ce6840c1dad8e5ed9c55ab85f538763bd3910ecb86e56e39170f750d179ee24,8,8,passed,false,detection,native_box_or_box_derived_from_genuine_mask,box_xywh
cubit_train_cr1_1039,CUBIT-InSeg,official_2026_release,CR1_1039,CR1_1039,cubit:train:cr1_1039,train,uav_rgb,building_facade,instance_polygon,crack,crack,positive,BDI-TAX-001@0.1.0-beta,CC-BY-4.0,cubit_exact_dedup|unresolved_near_duplicates_excluded|test_locked,01834b07cb7632a1457c3b5c7a0c343884b6152f7eb7effb6e1a29c0772c5817,data/v1/images/cubit/cubit_train_cr1_1039.jpg,data/v1/annotations/cubit/cubit_train_cr1_1039.json,6be5d9c3e5d6740a0bf4a125963f0eb39ca9db5aedd8dd4f9d228ab1cba9298b,7,7,passed,false,detection,native_box_or_box_derived_from_genuine_mask,box_xywh
cubit_train_cr1_104,CUBIT-InSeg,official_2026_release,CR1_104,CR1_104,cubit:train:cr1_104,train,uav_rgb,building_facade,instance_polygon,crack,crack,positive,BDI-TAX-001@0.1.0-beta,CC-BY-4.0,cubit_exact_dedup|unresolved_near_duplicates_excluded|test_locked,c88737bb7399e43cde09b7a9cb30014f15cff1ec0f53bccfb11d27899fe8df71,data/v1/images/cubit/cubit_train_cr1_104.jpg,data/v1/annotations/cubit/cubit_train_cr1_104.json,166ce3b1475d7ff4c7f0320bd69987d14ccf8e263d9079aee1309982a3e3a20b,9,9,passed,false,detection,native_box_or_box_derived_from_genuine_mask,box_xywh
cubit_train_cr1_1040,CUBIT-InSeg,official_2026_release,CR1_1040,CR1_1040,cubit:train:cr1_1040,train,uav_rgb,building_facade,instance_polygon,crack,crack,positive,BDI-TAX-001@0.1.0-beta,CC-BY-4.0,cubit_exact_dedup|unresolved_near_duplicates_excluded|test_locked,67bd88481bcfd5a776ea9524c6d0f79856c80ef76dd4d92ad4dbef6adfc713e8,data/v1/images/cubit/cubit_train_cr1_1040.jpg,data/v1/annotations/cubit/cubit_train_cr1_1040.json,9c50e998a171c76ea4e06d004399109afbd2ec032ae70a710321f61bc14fadd2,5,5,passed,false,detection,native_box_or_box_derived_from_genuine_mask,box_xywh
cubit_train_cr1_1041,CUBIT-InSeg,official_2026_release,CR1_1041,CR1_1041,cubit:train:cr1_1041,train,uav_rgb,building_facade,instance_polygon,crack,crack,positive,BDI-TAX-001@0.1.0-beta,CC-BY-4.0,cubit_exact_dedup|unresolved_near_duplicates_excluded|test_locked,d62a35fb885f21e48440f1a1c61b19d89dac21780d81e031e888be06766888c6,data/v1/images/cubit/cubit_train_cr1_1041.jpg,data/v1/annotations/cubit/cubit_train_cr1_1041.json,5911ffdcc6b361d8b1cf4d5eff5d9e753c90863d6544748b023e68d2f7c9d598,7,7,passed,false,detection,native_box_or_box_derived_from_genuine_mask,box_xywh
cubit_train_cr1_1042,CUBIT-InSeg,official_2026_release,CR1_1042,CR1_1042,cubit:train:cr1_1042,train,uav_rgb,building_facade,instance_polygon,crack,crack,positive,BDI-TAX-001@0.1.0-beta,CC-BY-4.0,cubit_exact_dedup|unresolved_near_duplicates_excluded|test_locked,a549ddf2886aaff4dba6f5014f6f679befebe54bb0a8759daf609ebe08854384,data/v1/images/cubit/cubit_train_cr1_1042.jpg,data/v1/annotations/cubit/cubit_train_cr1_1042.json,c537a4a1ef5f6769334183867addbbd1d208e4bd0d118969297b11bb5a9113da,7,7,passed,false,detection,native_box_or_box_derived_from_genuine_mask,box_xywh
cubit_train_cr1_1043,CUBIT-InSeg,official_2026_release,CR1_1043,CR1_1043,cubit:train:cr1_1043,train,uav_rgb,building_facade,instance_polygon,crack,crack,positive,BDI-TAX-001@0.1.0-beta,CC-BY-4.0,cubit_exact_dedup|unresolved_near_duplicates_excluded|test_locked,8603c46a8011ecb0c994a74af1a1d7f578fbeb65662a20393f755ebb88543e35,data/v1/images/cubit/cubit_train_cr1_1043.jpg,data/v1/annotations/cubit/cubit_train_cr1_1043.json,06830f8a84c1b56ba23bee006a61f59cd2f433352ad98ee3d4cb3c91ad56dcd0,7,7,passed,false,detection,native_box_or_box_derived_from_genuine_mask,box_xywh
cubit_train_cr1_1044,CUBIT-InSeg,official_2026_release,CR1_1044,CR1_1044,cubit:train:cr1_1044,train,uav_rgb,building_facade,instance_polygon,crack,crack,positive,BDI-TAX-001@0.1.0-beta,CC-BY-4.0,cubit_exact_dedup|unresolved_near_duplicates_excluded|test_locked,97671d656b4387f290b6728175253a1dbbb79bf73ce84a8c7e9fb43e3681a4f3,data/v1/images/cubit/cubit_train_cr1_1044.jpg,data/v1/annotations/cubit/cubit_train_cr1_1044.json,3628ccafc903a0f40bfd5660562a080db93f8d3d4fe0d39baa8d35d169d5b858,7,7,passed,false,detection,native_box_or_box_derived_from_genuine_mask,box_xywh
cubit_train_cr1_1045,CUBIT-InSeg,official_2026_release,CR1_1045,CR1_1045,cubit:train:cr1_1045,train,uav_rgb,building_facade,instance_polygon,crack,crack,positive,BDI-TAX-001@0.1.0-beta,CC-BY-4.0,cubit_exact_dedup|unresolved_near_duplicates_excluded|test_locked,dbd18847c9ccb1933de652d332b2487660c5c361c9e15794271b9a5a4364d1e2,data/v1/images/cubit/cubit_train_cr1_1045.jpg,data/v1/annotations/cubit/cubit_train_cr1_1045.json,9088f21c1d605bb428abf361bb0849f1814c6809ede1edb1e4043596e37de0f2,6,6,passed,false,detection,native_box_or_box_derived_from_genuine_mask,box_xywh
cubit_train_cr1_1046,CUBIT-InSeg,official_2026_release,CR1_1046,CR1_1046,cubit:train:cr1_1046,train,uav_rgb,building_facade,instance_polygon,crack,crack,positive,BDI-TAX-001@0.1.0-beta,CC-BY-4.0,cubit_exact_dedup|unresolved_near_duplicates_excluded|test_locked,fe72560ea6d756654c354320d23a12add62deb87be7c3694a072063b049ffa1b,data/v1/images/cubit/cubit_train_cr1_1046.jpg,data/v1/annotations/cubit/cubit_train_cr1_1046.json,6aea5db2dbaeb7fbdde2787f9c72838090249f0b744aa6ec0c09c7db2d67f4f3,4,4,passed,false,detection,native_box_or_box_derived_from_genuine_mask,box_xywh
