sample_id,source_dataset,source_version,source_path,source_image_id,parent_image_id,group_id,split,capture_mode,asset_domain,annotation_type,native_labels,canonical_labels,annotation_status,mapping_version,license_id,quality_flags,selection_reason,sha256,locator_type,image_locator,annotation_locator,parquet_row_index,output_image,output_annotation
cif_0011,CiF-tiled,tiled-1024-public,datasets/CiF-tiled/data/train_tiled-00060-of-00084.parquet,DJI_20210616133411_0023_SUPR_2304_2304.JPG,Pille 06/S/DJI_20210616133323_0005_SUPR/DJI_20210616133411_0023_SUPR.JPG,Pille 06/S/DJI_20210616133323_0005_SUPR/DJI_20210616133411_0023_SUPR.JPG,train,UAV,mixed civil infrastructure,instance polygons and boxes,Net-Crack|Spalling,crack|spalling,positive,BDI-TAX-001@0.1.0-beta,CDLA-Permissive-2.0,,quota:Net-Crack,,parquet_row,datasets/CiF-tiled/data/train_tiled-00060-of-00084.parquet,datasets/CiF-tiled/data/train_tiled-00060-of-00084.parquet,335,data/feasibility_v0/images/cif/cif_0011.jpg,data/feasibility_v0/annotations/cif/cif_0011.json
cif_0012,CiF-tiled,tiled-1024-public,datasets/CiF-tiled/data/train_tiled-00075-of-00084.parquet,IMG_8962_0_1536.jpg,004/dump3/IMG_8962.jpg,004/dump3/IMG_8962.jpg,train,UAV,mixed civil infrastructure,instance polygons and boxes,Net-Crack,crack,positive,BDI-TAX-001@0.1.0-beta,CDLA-Permissive-2.0,,quota:Net-Crack,,parquet_row,datasets/CiF-tiled/data/train_tiled-00075-of-00084.parquet,datasets/CiF-tiled/data/train_tiled-00075-of-00084.parquet,564,data/feasibility_v0/images/cif/cif_0012.jpg,data/feasibility_v0/annotations/cif/cif_0012.json
cif_0013,CiF-tiled,tiled-1024-public,datasets/CiF-tiled/data/train_tiled-00045-of-00084.parquet,DJI_20210607134539_0055_SUPR_0_768.JPG,Pille 12/S/DJI_20210607134342_0010_SUPR/DJI_20210607134539_0055_SUPR.JPG,Pille 12/S/DJI_20210607134342_0010_SUPR/DJI_20210607134539_0055_SUPR.JPG,train,UAV,mixed civil infrastructure,instance polygons and boxes,Crack|Net-Crack,crack,positive,BDI-TAX-001@0.1.0-beta,CDLA-Permissive-2.0,,quota:Net-Crack,,parquet_row,datasets/CiF-tiled/data/train_tiled-00045-of-00084.parquet,datasets/CiF-tiled/data/train_tiled-00045-of-00084.parquet,445,data/feasibility_v0/images/cif/cif_0013.jpg,data/feasibility_v0/annotations/cif/cif_0013.json
cif_0014,CiF-tiled,tiled-1024-public,datasets/CiF-tiled/data/train_tiled-00060-of-00084.parquet,DJI_20210616133440_0037_SUPR_1536_0.JPG,Pille 06/S/DJI_20210616133323_0005_SUPR/DJI_20210616133440_0037_SUPR.JPG,Pille 06/S/DJI_20210616133323_0005_SUPR/DJI_20210616133440_0037_SUPR.JPG,train,UAV,mixed civil infrastructure,instance polygons and boxes,Net-Crack,crack,positive,BDI-TAX-001@0.1.0-beta,CDLA-Permissive-2.0,,quota:Net-Crack,,parquet_row,datasets/CiF-tiled/data/train_tiled-00060-of-00084.parquet,datasets/CiF-tiled/data/train_tiled-00060-of-00084.parquet,201,data/feasibility_v0/images/cif/cif_0014.jpg,data/feasibility_v0/annotations/cif/cif_0014.json
cif_0015,CiF-tiled,tiled-1024-public,datasets/CiF-tiled/data/train_tiled-00060-of-00084.parquet,DJI_20210601101218_0022_SUPR_768_3072.JPG,Pille 26/N/DJI_20210601101131_0006_SUPR/DJI_20210601101218_0022_SUPR.JPG,Pille 26/N/DJI_20210601101131_0006_SUPR/DJI_20210601101218_0022_SUPR.JPG,train,UAV,mixed civil infrastructure,instance polygons and boxes,Net-Crack,crack,positive,BDI-TAX-001@0.1.0-beta,CDLA-Permissive-2.0,,quota:Net-Crack,,parquet_row,datasets/CiF-tiled/data/train_tiled-00060-of-00084.parquet,datasets/CiF-tiled/data/train_tiled-00060-of-00084.parquet,927,data/feasibility_v0/images/cif/cif_0015.jpg,data/feasibility_v0/annotations/cif/cif_0015.json
cif_0016,CiF-tiled,tiled-1024-public,datasets/CiF-tiled/data/train_tiled-00053-of-00084.parquet,DJI_20230418143842_0007_SUPR_4608_0.JPG,Pillar WEST/E/DJI_20230418143828_0006_SUPR/DJI_20230418143842_0007_SUPR.JPG,Pillar WEST/E/DJI_20230418143828_0006_SUPR/DJI_20230418143842_0007_SUPR.JPG,train,UAV,mixed civil infrastructure,instance polygons and boxes,Net-Crack,crack,positive,BDI-TAX-001@0.1.0-beta,CDLA-Permissive-2.0,,quota:Net-Crack,,parquet_row,datasets/CiF-tiled/data/train_tiled-00053-of-00084.parquet,datasets/CiF-tiled/data/train_tiled-00053-of-00084.parquet,639,data/feasibility_v0/images/cif/cif_0016.jpg,data/feasibility_v0/annotations/cif/cif_0016.json
cif_0017,CiF-tiled,tiled-1024-public,datasets/CiF-tiled/data/train_tiled-00060-of-00084.parquet,DJI_20210601101421_0028_SUPR_768_1536.JPG,Pille 26/N/DJI_20210601101321_0007_SUPR/DJI_20210601101421_0028_SUPR.JPG,Pille 26/N/DJI_20210601101321_0007_SUPR/DJI_20210601101421_0028_SUPR.JPG,train,UAV,mixed civil infrastructure,instance polygons and boxes,Crack|Net-Crack|Spalling,crack|spalling,positive,BDI-TAX-001@0.1.0-beta,CDLA-Permissive-2.0,,quota:Net-Crack,,parquet_row,datasets/CiF-tiled/data/train_tiled-00060-of-00084.parquet,datasets/CiF-tiled/data/train_tiled-00060-of-00084.parquet,424,data/feasibility_v0/images/cif/cif_0017.jpg,data/feasibility_v0/annotations/cif/cif_0017.json
cif_0018,CiF-tiled,tiled-1024-public,datasets/CiF-tiled/data/train_tiled-00000-of-00084.parquet,DJI_20221118134343_0026_SUPR_2304_768.JPG,DJI_202211181335_001_Pillar/DJI_20221118134250_0001_SUPR Pillar zoom 10/DJI_20221118134343_0026_SUPR.JPG,DJI_202211181335_001_Pillar/DJI_20221118134250_0001_SUPR Pillar zoom 10/DJI_20221118134343_0026_SUPR.JPG,train,UAV,mixed civil infrastructure,instance polygons and boxes,Crack|Net-Crack,crack,positive,BDI-TAX-001@0.1.0-beta,CDLA-Permissive-2.0,,quota:Net-Crack,,parquet_row,datasets/CiF-tiled/data/train_tiled-00000-of-00084.parquet,datasets/CiF-tiled/data/train_tiled-00000-of-00084.parquet,965,data/feasibility_v0/images/cif/cif_0018.jpg,data/feasibility_v0/annotations/cif/cif_0018.json
cif_0019,CiF-tiled,tiled-1024-public,datasets/CiF-tiled/data/train_tiled-00075-of-00084.parquet,IMG_8973_2304_768.jpg,004/dump3/IMG_8973.jpg,004/dump3/IMG_8973.jpg,train,UAV,mixed civil infrastructure,instance polygons and boxes,Crack|Net-Crack,crack,positive,BDI-TAX-001@0.1.0-beta,CDLA-Permissive-2.0,,quota:Net-Crack,,parquet_row,datasets/CiF-tiled/data/train_tiled-00075-of-00084.parquet,datasets/CiF-tiled/data/train_tiled-00075-of-00084.parquet,295,data/feasibility_v0/images/cif/cif_0019.jpg,data/feasibility_v0/annotations/cif/cif_0019.json
cif_0020,CiF-tiled,tiled-1024-public,datasets/CiF-tiled/data/train_tiled-00053-of-00084.parquet,DJI_20210601105830_0002_SUPR_3840_2304.JPG,Pille 25/N/DJI_20210601105826_0007_SUPR/DJI_20210601105830_0002_SUPR.JPG,Pille 25/N/DJI_20210601105826_0007_SUPR/DJI_20210601105830_0002_SUPR.JPG,train,UAV,mixed civil infrastructure,instance polygons and boxes,Net-Crack,crack,positive,BDI-TAX-001@0.1.0-beta,CDLA-Permissive-2.0,,quota:Net-Crack,,parquet_row,datasets/CiF-tiled/data/train_tiled-00053-of-00084.parquet,datasets/CiF-tiled/data/train_tiled-00053-of-00084.parquet,127,data/feasibility_v0/images/cif/cif_0020.jpg,data/feasibility_v0/annotations/cif/cif_0020.json
cif_0021,CiF-tiled,tiled-1024-public,datasets/CiF-tiled/data/train_tiled-00023-of-00084.parquet,DJI_20210824155056_0050_SUPR_3072_1536.JPG,AB18 - The sloping Part (South)/DJI_20210824154908_0011_SUPR/DJI_20210824155056_0050_SUPR.JPG,AB18 - The sloping Part (South)/DJI_20210824154908_0011_SUPR/DJI_20210824155056_0050_SUPR.JPG,train,UAV,mixed civil infrastructure,instance polygons and boxes,Crack|Net-Crack,crack,positive,BDI-TAX-001@0.1.0-beta,CDLA-Permissive-2.0,,quota:Net-Crack,,parquet_row,datasets/CiF-tiled/data/train_tiled-00023-of-00084.parquet,datasets/CiF-tiled/data/train_tiled-00023-of-00084.parquet,1036,data/feasibility_v0/images/cif/cif_0021.jpg,data/feasibility_v0/annotations/cif/cif_0021.json
cif_0022,CiF-tiled,tiled-1024-public,datasets/CiF-tiled/data/train_tiled-00068-of-00084.parquet,ORE2020A_20200819_132850_PW22_IMGZOOM_DJI_20200819132849_0099_ZOOM_1536_768.JPG,West_approach/PW22/ORE2020A_20200819_132850_PW22_IMGZOOM_DJI_20200819132849_0099_ZOOM.JPG,West_approach/PW22/ORE2020A_20200819_132850_PW22_IMGZOOM_DJI_20200819132849_0099_ZOOM.JPG,train,UAV,mixed civil infrastructure,instance polygons and boxes,Algae|Net-Crack,crack,positive,BDI-TAX-001@0.1.0-beta,CDLA-Permissive-2.0,,quota:Net-Crack,,parquet_row,datasets/CiF-tiled/data/train_tiled-00068-of-00084.parquet,datasets/CiF-tiled/data/train_tiled-00068-of-00084.parquet,176,data/feasibility_v0/images/cif/cif_0022.jpg,data/feasibility_v0/annotations/cif/cif_0022.json
cif_0023,CiF-tiled,tiled-1024-public,datasets/CiF-tiled/data/train_tiled-00023-of-00084.parquet,DJI_20210824093912_0056_SUPR_2304_1536.JPG,Ankerblock 18 Wall South (East to west)/DJI_20210824093713_0001_SUPR/DJI_20210824093912_0056_SUPR.JPG,Ankerblock 18 Wall South (East to west)/DJI_20210824093713_0001_SUPR/DJI_20210824093912_0056_SUPR.JPG,train,UAV,mixed civil infrastructure,instance polygons and boxes,Net-Crack,crack,positive,BDI-TAX-001@0.1.0-beta,CDLA-Permissive-2.0,,quota:Net-Crack,,parquet_row,datasets/CiF-tiled/data/train_tiled-00023-of-00084.parquet,datasets/CiF-tiled/data/train_tiled-00023-of-00084.parquet,518,data/feasibility_v0/images/cif/cif_0023.jpg,data/feasibility_v0/annotations/cif/cif_0023.json
cif_0024,CiF-tiled,tiled-1024-public,datasets/CiF-tiled/data/train_tiled-00060-of-00084.parquet,DJI_20210616133436_0035_SUPR_768_0.JPG,Pille 06/S/DJI_20210616133323_0005_SUPR/DJI_20210616133436_0035_SUPR.JPG,Pille 06/S/DJI_20210616133323_0005_SUPR/DJI_20210616133436_0035_SUPR.JPG,train,UAV,mixed civil infrastructure,instance polygons and boxes,Net-Crack,crack,positive,BDI-TAX-001@0.1.0-beta,CDLA-Permissive-2.0,,quota:Net-Crack,,parquet_row,datasets/CiF-tiled/data/train_tiled-00060-of-00084.parquet,datasets/CiF-tiled/data/train_tiled-00060-of-00084.parquet,41,data/feasibility_v0/images/cif/cif_0024.jpg,data/feasibility_v0/annotations/cif/cif_0024.json
cif_0025,CiF-tiled,tiled-1024-public,datasets/CiF-tiled/data/train_tiled-00045-of-00084.parquet,DJI_20210602103753_0010_SUPR_0_3072.JPG,Pille 24/S/DJI_20210602103732_0007_SUPR/DJI_20210602103753_0010_SUPR.JPG,Pille 24/S/DJI_20210602103732_0007_SUPR/DJI_20210602103753_0010_SUPR.JPG,train,UAV,mixed civil infrastructure,instance polygons and boxes,Net-Crack,crack,positive,BDI-TAX-001@0.1.0-beta,CDLA-Permissive-2.0,,quota:Net-Crack,,parquet_row,datasets/CiF-tiled/data/train_tiled-00045-of-00084.parquet,datasets/CiF-tiled/data/train_tiled-00045-of-00084.parquet,234,data/feasibility_v0/images/cif/cif_0025.jpg,data/feasibility_v0/annotations/cif/cif_0025.json
cif_0026,CiF-tiled,tiled-1024-public,datasets/CiF-tiled/data/train_tiled-00053-of-00084.parquet,DJI_20210601105211_0019_SUPR_768_768.JPG,Pille 25/N/DJI_20210601105131_0004_SUPR/DJI_20210601105211_0019_SUPR.JPG,Pille 25/N/DJI_20210601105131_0004_SUPR/DJI_20210601105211_0019_SUPR.JPG,train,UAV,mixed civil infrastructure,instance polygons and boxes,Rust,rust_staining,positive,BDI-TAX-001@0.1.0-beta,CDLA-Permissive-2.0,,quota:Rust,,parquet_row,datasets/CiF-tiled/data/train_tiled-00053-of-00084.parquet,datasets/CiF-tiled/data/train_tiled-00053-of-00084.parquet,261,data/feasibility_v0/images/cif/cif_0026.jpg,data/feasibility_v0/annotations/cif/cif_0026.json
cif_0027,CiF-tiled,tiled-1024-public,datasets/CiF-tiled/data/train_tiled-00083-of-00084.parquet,IMG_7551Resized_20170718102744_0_0.jpg,Steel/IMG_7551Resized_20170718102744.jpg,Steel/IMG_7551Resized_20170718102744.jpg,train,UAV,mixed civil infrastructure,instance polygons and boxes,Algae|Rust,rust_staining,positive,BDI-TAX-001@0.1.0-beta,CDLA-Permissive-2.0,,quota:Rust,,parquet_row,datasets/CiF-tiled/data/train_tiled-00083-of-00084.parquet,datasets/CiF-tiled/data/train_tiled-00083-of-00084.parquet,929,data/feasibility_v0/images/cif/cif_0027.jpg,data/feasibility_v0/annotations/cif/cif_0027.json
cif_0028,CiF-tiled,tiled-1024-public,datasets/CiF-tiled/data/train_tiled-00083-of-00084.parquet,IMG_2290Resized_20150731122756_0_0.jpg,Steel/IMG_2290Resized_20150731122756.jpg,Steel/IMG_2290Resized_20150731122756.jpg,train,UAV,mixed civil infrastructure,instance polygons and boxes,Rust,rust_staining,positive,BDI-TAX-001@0.1.0-beta,CDLA-Permissive-2.0,,quota:Rust,,parquet_row,datasets/CiF-tiled/data/train_tiled-00083-of-00084.parquet,datasets/CiF-tiled/data/train_tiled-00083-of-00084.parquet,693,data/feasibility_v0/images/cif/cif_0028.jpg,data/feasibility_v0/annotations/cif/cif_0028.json
cif_0029,CiF-tiled,tiled-1024-public,datasets/CiF-tiled/data/train_tiled-00083-of-00084.parquet,2014-11-26_IMG_5552Resized_20141209120039_0_0.jpg,Steel/2014-11-26_IMG_5552Resized_20141209120039.jpg,Steel/2014-11-26_IMG_5552Resized_20141209120039.jpg,train,UAV,mixed civil infrastructure,instance polygons and boxes,Rust,rust_staining,positive,BDI-TAX-001@0.1.0-beta,CDLA-Permissive-2.0,,quota:Rust,,parquet_row,datasets/CiF-tiled/data/train_tiled-00083-of-00084.parquet,datasets/CiF-tiled/data/train_tiled-00083-of-00084.parquet,712,data/feasibility_v0/images/cif/cif_0029.jpg,data/feasibility_v0/annotations/cif/cif_0029.json
cif_0030,CiF-tiled,tiled-1024-public,datasets/CiF-tiled/data/train_tiled-00045-of-00084.parquet,DJI_20210602102857_0007_SUPR_3840_1536.JPG,Pille 24/S/DJI_20210602102842_0004_SUPR/DJI_20210602102857_0007_SUPR.JPG,Pille 24/S/DJI_20210602102842_0004_SUPR/DJI_20210602102857_0007_SUPR.JPG,train,UAV,mixed civil infrastructure,instance polygons and boxes,Rust,rust_staining,positive,BDI-TAX-001@0.1.0-beta,CDLA-Permissive-2.0,,quota:Rust,,parquet_row,datasets/CiF-tiled/data/train_tiled-00045-of-00084.parquet,datasets/CiF-tiled/data/train_tiled-00045-of-00084.parquet,954,data/feasibility_v0/images/cif/cif_0030.jpg,data/feasibility_v0/annotations/cif/cif_0030.json
cif_0031,CiF-tiled,tiled-1024-public,datasets/CiF-tiled/data/train_tiled-00060-of-00084.parquet,DJI_20210601100813_0015_SUPR_768_0.JPG,Pille 26/N/DJI_20210601100740_0003_SUPR/DJI_20210601100813_0015_SUPR.JPG,Pille 26/N/DJI_20210601100740_0003_SUPR/DJI_20210601100813_0015_SUPR.JPG,train,UAV,mixed civil infrastructure,instance polygons and boxes,Rust,rust_staining,positive,BDI-TAX-001@0.1.0-beta,CDLA-Permissive-2.0,,quota:Rust,,parquet_row,datasets/CiF-tiled/data/train_tiled-00060-of-00084.parquet,datasets/CiF-tiled/data/train_tiled-00060-of-00084.parquet,779,data/feasibility_v0/images/cif/cif_0031.jpg,data/feasibility_v0/annotations/cif/cif_0031.json
cif_0032,CiF-tiled,tiled-1024-public,datasets/CiF-tiled/data/train_tiled-00008-of-00084.parquet,VF-BROPILLE_15-182_3072_1536.JPG,VF-BROPILLE_15-182.JPG,VF-BROPILLE_15-182.JPG,train,UAV,mixed civil infrastructure,instance polygons and boxes,Rust|Spalling,rust_staining|spalling,positive,BDI-TAX-001@0.1.0-beta,CDLA-Permissive-2.0,,quota:Rust,,parquet_row,datasets/CiF-tiled/data/train_tiled-00008-of-00084.parquet,datasets/CiF-tiled/data/train_tiled-00008-of-00084.parquet,323,data/feasibility_v0/images/cif/cif_0032.jpg,data/feasibility_v0/annotations/cif/cif_0032.json
cif_0033,CiF-tiled,tiled-1024-public,datasets/CiF-tiled/data/train_tiled-00000-of-00084.parquet,DJI_20221118110927_0004_SUPR_4608_1536.JPG,DJI_202211181054_014_Side of the bridge_ Zoom10/DJI_20221118110918_0007_SUPR/DJI_20221118110927_0004_SUPR.JPG,DJI_202211181054_014_Side of the bridge_ Zoom10/DJI_20221118110918_0007_SUPR/DJI_20221118110927_0004_SUPR.JPG,train,UAV,mixed civil infrastructure,instance polygons and boxes,Rust,rust_staining,positive,BDI-TAX-001@0.1.0-beta,CDLA-Permissive-2.0,,quota:Rust,,parquet_row,datasets/CiF-tiled/data/train_tiled-00000-of-00084.parquet,datasets/CiF-tiled/data/train_tiled-00000-of-00084.parquet,95,data/feasibility_v0/images/cif/cif_0033.jpg,data/feasibility_v0/annotations/cif/cif_0033.json
cif_0034,CiF-tiled,tiled-1024-public,datasets/CiF-tiled/data/train_tiled-00083-of-00084.parquet,00012256_20060703_f1000001_20130320180000_768_0.jpg,Steel/00012256_20060703_f1000001_20130320180000.jpg,Steel/00012256_20060703_f1000001_20130320180000.jpg,train,UAV,mixed civil infrastructure,instance polygons and boxes,Crack|Rust,crack|rust_staining,positive,BDI-TAX-001@0.1.0-beta,CDLA-Permissive-2.0,,quota:Rust,,parquet_row,datasets/CiF-tiled/data/train_tiled-00083-of-00084.parquet,datasets/CiF-tiled/data/train_tiled-00083-of-00084.parquet,1204,data/feasibility_v0/images/cif/cif_0034.jpg,data/feasibility_v0/annotations/cif/cif_0034.json
cif_0035,CiF-tiled,tiled-1024-public,datasets/CiF-tiled/data/train_tiled-00053-of-00084.parquet,00012289_20050202_f0500002_20130320180000_768_0.jpg,Concrete/00012289_20050202_f0500002_20130320180000.jpg,Concrete/00012289_20050202_f0500002_20130320180000.jpg,train,UAV,mixed civil infrastructure,instance polygons and boxes,Rust|Spalling,rust_staining|spalling,positive,BDI-TAX-001@0.1.0-beta,CDLA-Permissive-2.0,,quota:Rust,,parquet_row,datasets/CiF-tiled/data/train_tiled-00053-of-00084.parquet,datasets/CiF-tiled/data/train_tiled-00053-of-00084.parquet,551,data/feasibility_v0/images/cif/cif_0035.jpg,data/feasibility_v0/annotations/cif/cif_0035.json
cif_0036,CiF-tiled,tiled-1024-public,datasets/CiF-tiled/data/train_tiled-00083-of-00084.parquet,IMG_0177Resized_20170908082810_0_0.jpg,Steel/IMG_0177Resized_20170908082810.jpg,Steel/IMG_0177Resized_20170908082810.jpg,train,UAV,mixed civil infrastructure,instance polygons and boxes,Rust|Spalling,rust_staining|spalling,positive,BDI-TAX-001@0.1.0-beta,CDLA-Permissive-2.0,,quota:Rust,,parquet_row,datasets/CiF-tiled/data/train_tiled-00083-of-00084.parquet,datasets/CiF-tiled/data/train_tiled-00083-of-00084.parquet,615,data/feasibility_v0/images/cif/cif_0036.jpg,data/feasibility_v0/annotations/cif/cif_0036.json
