"sample_id","source_dataset","source_label","proposed_canonical_label","packet_image","packet_native_annotation","packet_normalized_annotation","image_sha256","native_annotation_sha256","normalized_annotation_sha256"
"s2ds_0023","S2DS","corrosion|spalling","rust_staining|spalling","images/s2ds_0023.png","native_annotations/s2ds_0023.png","normalized_annotations/s2ds_0023.json","c33cb5e07841f078cc46f97328429ae0536c9003dd1b5031879af107dc888ea6","788451cf8dde3ea2e3fc69c37403ac2ac8076fab0fca9c0bdec63e5074e6c4c3","bf1c04d697c009ec824ece7bd8d6fe8a969f689299e5a8d2487dbc0f0531bc33"
"s2ds_0024","S2DS","corrosion","rust_staining","images/s2ds_0024.png","native_annotations/s2ds_0024.png","normalized_annotations/s2ds_0024.json","9e67899ab872a7aeeb38eae60eba5916c0658b0243a1abe9a5656ea947597d9a","bee187bd0cc9ccfe899cb488a2ec0856c5eda012dcdfacfd36322d71de2ee80d","5de985d5faacb92e2bcfa98d05fafc28ae2847ff1101c588e35bd447c46c581d"
"s2ds_0026","S2DS","corrosion|spalling","rust_staining|spalling","images/s2ds_0026.png","native_annotations/s2ds_0026.png","normalized_annotations/s2ds_0026.json","9082fe6f2b3e1b8d618ce63d657d152cde0f91364728bd85e75fbe9bf529b015","65ff527fb492aae5de205d946b786a3b8db9e0f73ed2b31531d3e6f4f1c623f8","a5cd738e512a5359f426a7a40c7991d3fea27bb97b46b0d6639a966437aa6c6c"
"s2ds_0027","S2DS","corrosion|spalling","rust_staining|spalling","images/s2ds_0027.png","native_annotations/s2ds_0027.png","normalized_annotations/s2ds_0027.json","50d7a3845e12fa67a9170f8e1a6debf7a88552a1c8d47a217148fee5ab70037f","6ce721226d566d7e5c7626e7e47b2b8f1d77567ddad3b77b0db34c3417908d22","c994d0530134a1b751169766f07927f06c980f100ebaf3f0e36fc28fe1cd0dc5"
"s2ds_0028","S2DS","corrosion|spalling","rust_staining|spalling","images/s2ds_0028.png","native_annotations/s2ds_0028.png","normalized_annotations/s2ds_0028.json","b62bb4318917437c45ee83229773d3a8211da0810b7f66d60705311587a4e498","4b9645dfecf6f0ab6ea364a8badea356265048666209304d9a3819726903b073","9739e63375f4428892996d3c11ea89134942ebde90eea0fb7133b71a216ad3eb"
"s2ds_0029","S2DS","corrosion|spalling","rust_staining|spalling","images/s2ds_0029.png","native_annotations/s2ds_0029.png","normalized_annotations/s2ds_0029.json","055c4e9c9a5eef53e7981a35258dcec673c8e30f4ad189905fdcdd52352c80f9","23c79e4ef196f77c43c3301b8489096b449a6e6206d04ea47f0adfa6a14cb0a1","ebf19bf91aa1f7d23cbcb86b4bcfaf1cb0b3454621c9d996b843eddf8a04498f"
"s2ds_0030","S2DS","corrosion|spalling","rust_staining|spalling","images/s2ds_0030.png","native_annotations/s2ds_0030.png","normalized_annotations/s2ds_0030.json","2276fe50d707032c16937e6f3543d8b0456e9f48a6be101b0f82f6004c7d293a","6dd53b673d941a05573132da274a058572741c594208848e027f88f64f96739e","3575ef618514d2c9567211e023bb23b921c6c9307f954a3b5bce1e5b9fe96a76"
"s2ds_0031","S2DS","corrosion|spalling","rust_staining|spalling","images/s2ds_0031.png","native_annotations/s2ds_0031.png","normalized_annotations/s2ds_0031.json","805091e167d80aa8f3656f2c6d519169ec8a6b9c121617d3908839c68da705fa","f7cf90db76403ae28c473bca5b3dfb240d5a17f523a09d281c79b155451137db","0696ae4bb41bcd348ceb378f9aa733308f2defa40d2259c6f6d43111692da427"
"s2ds_0032","S2DS","corrosion|spalling","rust_staining|spalling","images/s2ds_0032.png","native_annotations/s2ds_0032.png","normalized_annotations/s2ds_0032.json","e67a0406bad6733f10303700c0876b99dd70bc20ca99f887465fd6c87b235a05","fd6718650c08097b17b7ff7dbc11721370b1f11c6fe77dd1937b86bd8935780c","1c559fe330ec280b3303b4da9d4a0c1b84b103154eea6e151c60cc79f2f8ec3b"
"s2ds_0033","S2DS","corrosion|spalling","rust_staining|spalling","images/s2ds_0033.png","native_annotations/s2ds_0033.png","normalized_annotations/s2ds_0033.json","15d93e40cee280c0f5f1a14352eb2e11324821c4e8c94e2f066624829db140c9","8c075daf9ca0de2d3975819206add736bf9d55ef6016799e814f73bd03fa71ed","5eb7649e59c36a0643e02411ca72e31fd8aa69ff0e006cca86a3ff719ac13b4d"
"s2ds_0034","S2DS","corrosion|spalling","rust_staining|spalling","images/s2ds_0034.png","native_annotations/s2ds_0034.png","normalized_annotations/s2ds_0034.json","1fedc089a5a4ac2097b67bfb4a44f415206b5abe5f4a8cdb5b28a1863abae50b","a5687e25cea6ca5ab1f418bce87a7eb8dafb8b6d10b54ce8a5a3b3ee13e56770","d742874967cf13475bf811975904c06e298710ff33777caa6f0c56641f786d87"
"s2ds_0035","S2DS","corrosion|spalling","rust_staining|spalling","images/s2ds_0035.png","native_annotations/s2ds_0035.png","normalized_annotations/s2ds_0035.json","81458fab7b3c84a6777880f211ff215f2e9f4eadab91b7b1f93bec8250312a83","df05d9b28b5f7dae191acf4234004d7fc89f0d0c0a2e5219acac16898d44d26c","9153775ba870995ea54886d2d07520a57a160ad2cceb08056f4ce22590367a35"
"s2ds_0036","S2DS","corrosion|spalling","rust_staining|spalling","images/s2ds_0036.png","native_annotations/s2ds_0036.png","normalized_annotations/s2ds_0036.json","13c233f5efdda7ce95694f6b5850315a3d32fa81389842745e7d245378657840","61f71dd0d9294c6271184796f150f71caefaff4a43f1a9ec940ed273b7e16d18","dc34a5eb660b3417430d8e35f207862feb0f3cc8e25a2804701918f9245380c6"
"s2ds_0037","S2DS","corrosion|spalling","rust_staining|spalling","images/s2ds_0037.png","native_annotations/s2ds_0037.png","normalized_annotations/s2ds_0037.json","ad86adcf148ab6dcda7cf174a7ad2f7308ab798f1c5ecc899197ab19f5643425","f5f0aa75c31ae33a085f4b2f020073e3ad3e51df023b44416ac1d433bdf823cd","c92236c1ae74c0dd5e674ab136790081d75d6497c289ca7e965b27599aa32026"
"s2ds_0038","S2DS","corrosion|spalling","rust_staining|spalling","images/s2ds_0038.png","native_annotations/s2ds_0038.png","normalized_annotations/s2ds_0038.json","15c87424f22f67753af436a9025a096fee0846e48600f49bbd038f6c930906b2","cbd3885b49776025595aa31dcffbb2296a7ea9cdf3d3dc862e9530a4040f4752","37849df6fff6f650c9ee767c216382e029046a4a7ea224f64e74b21c2f667ea5"
"s2ds_0039","S2DS","corrosion|spalling","rust_staining|spalling","images/s2ds_0039.png","native_annotations/s2ds_0039.png","normalized_annotations/s2ds_0039.json","1640aadfa6faa7749c7291022f1fe8cca311428817c4655cfafe00a1e9d553ba","bbb1548542e0487b27712cd8804f5ddc174f44558d19f74ca43358257d56cea5","9ec8091f440541de573e3e534c508ed24555c30f905e11d9167af888917d90aa"
"s2ds_0040","S2DS","corrosion|spalling","rust_staining|spalling","images/s2ds_0040.png","native_annotations/s2ds_0040.png","normalized_annotations/s2ds_0040.json","8c1e5931afbc256bc9bf960a8666d4b8eae06587959cc452df63f40d669f5db6","c1af238197d728314f23b96db88c2e49f341e0c19551758e238df9d82dd5ffe4","a4b5faae838429e06bc09a5806111d74e2975cdb66ec63aea231fd3442185899"
"s2ds_0051","S2DS","corrosion|crack","crack|rust_staining","images/s2ds_0051.png","native_annotations/s2ds_0051.png","normalized_annotations/s2ds_0051.json","4a432755420fb891d5bf3ed18380bc1df41135dbc23855b5b5d1fbb39a4e31c4","8989a64412981f03a548f89a1065b25281d962f7d123a958cdf7e8c8383d9018","7da324c26d518c2075f443bfd0cb1953c9e934f73766f561bdfc01ebd0213f44"
"s2ds_0061","S2DS","corrosion|crack","crack|rust_staining","images/s2ds_0061.png","native_annotations/s2ds_0061.png","normalized_annotations/s2ds_0061.json","7cf9e44c39bc09c44e732e97ea1527c82076fe8f6e42466ebb54b3ae01ea5bde","c417f2022dec63b622ed443f54c2508b17106fa1e9c1c7b831bf6eba00cb7fc7","8b8e835d10bbb0eeb6e96e0d8df70b45ae4ff0d052a0879348df187acbaa186b"
"s2ds_0073","S2DS","corrosion|crack|spalling","crack|rust_staining|spalling","images/s2ds_0073.png","native_annotations/s2ds_0073.png","normalized_annotations/s2ds_0073.json","d47b2f845ac35e2edbb81026051709adc6da9e938eb986ee13e11c7af3c108f8","7cb23912efc0058e94afe18ec17fef104d436e61892f90cbde85dc15cebd7e9c","cbb5b27d155c2af435a582e75927c1bdf064bfb96a559684afe2ac1df962286c"
"s2ds_0076","S2DS","corrosion|crack","crack|rust_staining","images/s2ds_0076.png","native_annotations/s2ds_0076.png","normalized_annotations/s2ds_0076.json","04030f43b4215df9d8571a7dd4739109974ebd536bd21cf115bdda9926fbf66d","cf0488e132271554b5174d6f2448c7607307a1c35c6996f27086807877708890","7242c15e94e531f0c8b56b00631e7ffb85fb5ccc1c0386eedabb26c8fe7644bc"
