review_rank,phash_hamming_distance,grayscale_correlation,grayscale_mae_0_1,grayscale_rmse_0_1,same_dimensions,left_record_id,left_split,left_member,right_record_id,right_split,right_member,decision,review_notes
31,2,0.45268828,0.02625684,0.06357127,True,cubit_train_cr1_901,train,images/CR1_901.JPG,cubit_test_cr1_780,test,images/CR1_780.JPG,pending_human_review,
32,4,0.98049194,0.02283624,0.05728447,True,cubit_train_sp0_236,train,images/SP0_236.JPG,cubit_val_sp0_237,val,images/SP0_237.JPG,pending_human_review,
33,4,0.9686169,0.02468764,0.07173075,False,cubit_train_sp0_239,train,images/SP0_239.JPG,cubit_test_sp1_243,test,images/SP1_243.JPG,pending_human_review,
34,4,0.96254539,0.04383042,0.08452093,False,cubit_train_sp0_1384,train,images/SP0_1384.JPG,cubit_val_sp1_1362,val,images/SP1_1362.JPG,pending_human_review,
35,4,0.96199882,0.03190727,0.0733171,True,cubit_train_sp0_203,train,images/SP0_203.JPG,cubit_test_sp0_204,test,images/SP0_204.JPG,pending_human_review,
36,4,0.95928043,0.03289245,0.06711834,False,cubit_train_sp1_211,train,images/SP1_211.JPG,cubit_test_sp0_213,test,images/SP0_213.JPG,pending_human_review,
37,4,0.9530862,0.05363746,0.09537221,False,cubit_train_sp0_12,train,images/SP0_12.JPG,cubit_val_sp1_10,val,images/SP1_10.JPG,pending_human_review,
38,4,0.95013791,0.05861337,0.07790021,True,cubit_train_cr1_2847,train,images/CR1_2847.JPG,cubit_val_cr1_1470,val,images/CR1_1470.JPG,pending_human_review,
39,4,0.9435991,0.04124469,0.09612549,False,cubit_train_sp0_1215,train,images/SP0_1215.JPG,cubit_val_sp1_1203,val,images/SP1_1203.JPG,pending_human_review,
40,4,0.94320297,0.02886364,0.09437037,True,cubit_train_cr1_1450,train,images/CR1_1450.JPG,cubit_test_cr1_1451,test,images/CR1_1451.JPG,pending_human_review,
41,4,0.94236398,0.04418539,0.0886482,False,cubit_train_sp1_878,train,images/SP1_878.JPG,cubit_test_sp0_907,test,images/SP0_907.JPG,pending_human_review,
42,4,0.94150883,0.08390108,0.09553836,True,cubit_train_cr1_1078,train,images/CR1_1078.JPG,cubit_val_cr1_908,val,images/CR1_908.JPG,pending_human_review,
43,4,0.93332571,0.03136728,0.08016329,False,cubit_train_sp1_252,train,images/SP1_252.JPG,cubit_test_sp0_257,test,images/SP0_257.JPG,pending_human_review,
44,4,0.92845416,0.03804022,0.08322793,False,cubit_train_sp1_213,train,images/SP1_213.JPG,cubit_val_sp0_217,val,images/SP0_217.JPG,pending_human_review,
45,4,0.9270829,0.0407801,0.08461918,False,cubit_train_sp1_1272,train,images/SP1_1272.JPG,cubit_val_sp0_1283,val,images/SP0_1283.JPG,pending_human_review,
46,4,0.92180443,0.0452517,0.08742642,False,cubit_train_sp0_1188,train,images/SP0_1188.JPG,cubit_test_sp1_1175,test,images/SP1_1175.JPG,pending_human_review,
47,4,0.91917682,0.01701995,0.04596918,True,cubit_train_cr1_1650,train,images/CR1_1650.JPG,cubit_test_cr1_1657,test,images/CR1_1657.JPG,pending_human_review,
48,4,0.91730857,0.06219411,0.11244746,False,cubit_train_sp1_1478,train,images/SP1_1478.JPG,cubit_val_sp0_1484,val,images/SP0_1484.JPG,pending_human_review,
49,4,0.91558921,0.04739703,0.09535025,False,cubit_train_sp1_880,train,images/SP1_880.JPG,cubit_test_sp0_910,test,images/SP0_910.JPG,pending_human_review,
50,4,0.91326338,0.04256831,0.09155093,False,cubit_train_sp0_168,train,images/SP0_168.JPG,cubit_test_sp1_172,test,images/SP1_172.JPG,pending_human_review,
51,4,0.90881062,0.06253926,0.09180618,True,cubit_train_cr1_814,train,images/CR1_814.JPG,cubit_test_cr1_852,test,images/CR1_852.JPG,pending_human_review,
52,4,0.90201998,0.01637202,0.03550681,True,cubit_train_cr1_1009,train,images/CR1_1009.JPG,cubit_test_cr1_1003,test,images/CR1_1003.JPG,pending_human_review,
53,4,0.90154558,0.02813218,0.06321225,True,cubit_train_sp0_1777,train,images/SP0_1777.JPG,cubit_val_sp1_1772,val,images/SP1_1772.JPG,pending_human_review,
54,4,0.899553,0.05893674,0.14077508,False,cubit_train_sp0_129,train,images/SP0_129.JPG,cubit_val_sp1_123,val,images/SP1_123.JPG,pending_human_review,
55,4,0.89729595,0.06125799,0.10233874,True,cubit_train_sp1_678,train,images/SP1_678.JPG,cubit_val_cr1_94,val,images/CR1_94.JPG,pending_human_review,
56,4,0.89725494,0.03635852,0.06426746,True,cubit_train_cr1_853,train,images/CR1_853.JPG,cubit_val_cr1_908,val,images/CR1_908.JPG,pending_human_review,
57,4,0.89568526,0.03258487,0.06304487,False,cubit_train_sp0_1831,train,images/SP0_1831.JPG,cubit_test_sp1_1822,test,images/SP1_1822.JPG,pending_human_review,
58,4,0.89399678,0.02984787,0.07256424,False,cubit_val_sp1_553,val,images/SP1_553.JPG,cubit_test_sp0_568,test,images/SP0_568.JPG,pending_human_review,
59,4,0.89177173,0.04629432,0.08777802,True,cubit_val_sp1_693,val,images/SP1_693.JPG,cubit_test_cr1_109,test,images/CR1_109.JPG,pending_human_review,
60,4,0.8903982,0.03321318,0.06458038,False,cubit_train_sp0_1832,train,images/SP0_1832.JPG,cubit_test_sp1_1822,test,images/SP1_1822.JPG,pending_human_review,
61,4,0.8850826,0.07457443,0.12695926,False,cubit_train_sp0_1672,train,images/SP0_1672.JPG,cubit_test_sp1_1656,test,images/SP1_1656.JPG,pending_human_review,
62,4,0.88238132,0.02619772,0.03746068,True,cubit_train_cr1_1009,train,images/CR1_1009.JPG,cubit_val_cr1_720,val,images/CR1_720.JPG,pending_human_review,
63,4,0.87380552,0.06336957,0.11563197,False,cubit_val_sp1_1359,val,images/SP1_1359.JPG,cubit_test_sp1_1368,test,images/SP1_1368.JPG,pending_human_review,
64,4,0.87110198,0.03123564,0.06237589,False,cubit_train_sp0_408,train,images/SP0_408.JPG,cubit_val_sp1_402,val,images/SP1_402.JPG,pending_human_review,
65,4,0.86901712,0.01662143,0.03968482,True,cubit_train_cr1_1663,train,images/CR1_1663.JPG,cubit_test_cr1_1656,test,images/CR1_1656.JPG,pending_human_review,
66,4,0.86822897,0.07230392,0.1379969,False,cubit_train_sp0_906,train,images/SP0_906.JPG,cubit_val_sp1_877,val,images/SP1_877.JPG,pending_human_review,
67,4,0.86677527,0.07181851,0.1361454,False,cubit_train_sp1_1648,train,images/SP1_1648.JPG,cubit_val_sp0_1655,val,images/SP0_1655.JPG,pending_human_review,
68,4,0.8642866,0.04618184,0.09295086,False,cubit_train_sp1_149,train,images/SP1_149.JPG,cubit_test_sp0_151,test,images/SP0_151.JPG,pending_human_review,
69,4,0.86289966,0.03220718,0.05719369,False,cubit_train_sp0_305,train,images/SP0_305.JPG,cubit_test_sp1_312,test,images/SP1_312.JPG,pending_human_review,
70,4,0.86101371,0.08119255,0.1387575,False,cubit_train_sp0_1673,train,images/SP0_1673.JPG,cubit_test_sp1_1656,test,images/SP1_1656.JPG,pending_human_review,
71,4,0.86100203,0.05794558,0.10481615,False,cubit_train_sp1_1289,train,images/SP1_1289.JPG,cubit_val_sp1_1298,val,images/SP1_1298.JPG,pending_human_review,
72,4,0.86090696,0.05988363,0.1077861,False,cubit_train_cr1_112,train,images/CR1_112.JPG,cubit_val_sp1_707,val,images/SP1_707.JPG,pending_human_review,
73,4,0.85725778,0.05688979,0.11482306,False,cubit_train_sp1_1105,train,images/SP1_1105.JPG,cubit_test_sp0_1118,test,images/SP0_1118.JPG,pending_human_review,
74,4,0.85430086,0.03211096,0.06310537,True,cubit_train_sp0_1276,train,images/SP0_1276.JPG,cubit_val_sp1_1266,val,images/SP1_1266.JPG,pending_human_review,
75,4,0.85142833,0.05988219,0.08956563,False,cubit_train_sp0_1426,train,images/SP0_1426.JPG,cubit_test_sp1_1417,test,images/SP1_1417.JPG,pending_human_review,
76,4,0.84847087,0.0325966,0.07010969,False,cubit_train_sp0_1723,train,images/SP0_1723.JPG,cubit_test_sp1_1716,test,images/SP1_1716.JPG,pending_human_review,
77,4,0.84833664,0.05336292,0.09710065,True,cubit_train_sp0_1124,train,images/SP0_1124.JPG,cubit_test_sp0_1123,test,images/SP0_1123.JPG,pending_human_review,
78,4,0.84064221,0.06358308,0.11547896,False,cubit_val_sp1_707,val,images/SP1_707.JPG,cubit_test_sp1_696,test,images/SP1_696.JPG,pending_human_review,
79,4,0.84005934,0.07207582,0.11111627,False,cubit_train_sp1_269,train,images/SP1_269.JPG,cubit_test_sp0_262,test,images/SP0_262.JPG,pending_human_review,
80,4,0.83471793,0.05427844,0.11371233,False,cubit_train_sp0_1115,train,images/SP0_1115.JPG,cubit_val_sp1_1103,val,images/SP1_1103.JPG,pending_human_review,
81,4,0.83257902,0.05718827,0.10706435,False,cubit_train_sp1_1315,train,images/SP1_1315.JPG,cubit_val_sp0_1328,val,images/SP0_1328.JPG,pending_human_review,
82,4,0.83114702,0.08626613,0.16506872,False,cubit_train_sp1_1029,train,images/SP1_1029.JPG,cubit_test_sp0_1041,test,images/SP0_1041.JPG,pending_human_review,
83,4,0.82973611,0.0711816,0.12760103,False,cubit_train_sp0_1510,train,images/SP0_1510.JPG,cubit_test_sp1_1498,test,images/SP1_1498.JPG,pending_human_review,
84,4,0.82598007,0.07070959,0.1160527,False,cubit_train_sp1_289,train,images/SP1_289.JPG,cubit_test_sp1_299,test,images/SP1_299.JPG,pending_human_review,
85,4,0.82596439,0.02817598,0.06565922,False,cubit_val_sp1_448,val,images/SP1_448.JPG,cubit_test_sp1_458,test,images/SP1_458.JPG,pending_human_review,
86,4,0.81650907,0.07530949,0.13261478,False,cubit_train_sp0_882,train,images/SP0_882.JPG,cubit_val_sp1_862,val,images/SP1_862.JPG,pending_human_review,
87,4,0.81419098,0.10040092,0.15543389,False,cubit_train_sp1_904,train,images/SP1_904.JPG,cubit_test_sp0_925,test,images/SP0_925.JPG,pending_human_review,
88,4,0.8131628,0.02668194,0.03755556,True,cubit_train_cr1_1015,train,images/CR1_1015.JPG,cubit_val_cr1_720,val,images/CR1_720.JPG,pending_human_review,
89,4,0.80982524,0.14281127,0.17101787,False,cubit_train_sp1_1352,train,images/SP1_1352.JPG,cubit_val_sp0_1328,val,images/SP0_1328.JPG,pending_human_review,
90,4,0.8081972,0.03728027,0.07674036,True,cubit_train_sp0_468,train,images/SP0_468.JPG,cubit_test_sp1_462,test,images/SP1_462.JPG,pending_human_review,
91,4,0.80571163,0.08609763,0.14939982,False,cubit_train_sp1_1544,train,images/SP1_1544.JPG,cubit_val_sp0_1552,val,images/SP0_1552.JPG,pending_human_review,
92,4,0.80177569,0.04342137,0.08425391,False,cubit_train_sp0_1741,train,images/SP0_1741.JPG,cubit_val_sp1_1725,val,images/SP1_1725.JPG,pending_human_review,
93,4,0.80138832,0.05651041,0.10995226,False,cubit_train_sp0_1714,train,images/SP0_1714.JPG,cubit_val_sp1_1697,val,images/SP1_1697.JPG,pending_human_review,
94,4,0.80038232,0.0354497,0.07270799,False,cubit_train_sp1_1255,train,images/SP1_1255.JPG,cubit_val_sp1_1266,val,images/SP1_1266.JPG,pending_human_review,
95,4,0.80007607,0.06713197,0.12286594,False,cubit_train_sp0_1114,train,images/SP0_1114.JPG,cubit_val_sp1_1103,val,images/SP1_1103.JPG,pending_human_review,
96,4,0.79760998,0.07651392,0.13393973,False,cubit_train_sp1_939,train,images/SP1_939.JPG,cubit_test_sp0_968,test,images/SP0_968.JPG,pending_human_review,
97,4,0.79490119,0.08299824,0.13322319,False,cubit_train_sp1_999,train,images/SP1_999.JPG,cubit_val_sp0_1018,val,images/SP0_1018.JPG,pending_human_review,
98,4,0.77999103,0.04624335,0.09518511,False,cubit_train_sp1_478,train,images/SP1_478.JPG,cubit_test_sp0_485,test,images/SP0_485.JPG,pending_human_review,
99,4,0.7724095,0.05109337,0.10352283,False,cubit_train_sp1_482,train,images/SP1_482.JPG,cubit_val_sp0_497,val,images/SP0_497.JPG,pending_human_review,
100,4,0.76910955,0.03909912,0.09473328,False,cubit_train_sp1_472,train,images/SP1_472.JPG,cubit_val_sp0_479,val,images/SP0_479.JPG,pending_human_review,
101,4,0.76234704,0.05107278,0.0884086,False,cubit_train_sp1_53,train,images/SP1_53.JPG,cubit_test_sp0_59,test,images/SP0_59.JPG,pending_human_review,
102,4,0.75612545,0.0996649,0.15231706,True,cubit_train_sp0_1510,train,images/SP0_1510.JPG,cubit_test_sp0_1511,test,images/SP0_1511.JPG,pending_human_review,
103,4,0.75238216,0.0404328,0.09369812,False,cubit_train_sp1_1730,train,images/SP1_1730.JPG,cubit_val_sp0_1747,val,images/SP0_1747.JPG,pending_human_review,
104,4,0.73638535,0.04762538,0.07880062,False,cubit_val_sp1_765,val,images/SP1_765.JPG,cubit_test_sp1_776,test,images/SP1_776.JPG,pending_human_review,
105,4,0.73424876,0.04420358,0.10003076,False,cubit_train_sp1_377,train,images/SP1_377.JPG,cubit_val_sp1_387,val,images/SP1_387.JPG,pending_human_review,
106,4,0.73236328,0.04728597,0.07871094,False,cubit_train_sp1_764,train,images/SP1_764.JPG,cubit_val_sp1_774,val,images/SP1_774.JPG,pending_human_review,
107,4,0.73207331,0.07447725,0.13683788,False,cubit_train_sp1_1589,train,images/SP1_1589.JPG,cubit_test_sp1_1599,test,images/SP1_1599.JPG,pending_human_review,
108,4,0.73166162,0.08845764,0.14143212,False,cubit_val_sp1_1023,val,images/SP1_1023.JPG,cubit_test_sp1_1012,test,images/SP1_1012.JPG,pending_human_review,
109,4,0.73118395,0.02536453,0.05588168,True,cubit_train_cr1_1670,train,images/CR1_1670.JPG,cubit_test_cr1_1656,test,images/CR1_1656.JPG,pending_human_review,
110,4,0.7281841,0.05405489,0.08704211,False,cubit_train_sp1_795,train,images/SP1_795.JPG,cubit_test_sp1_805,test,images/SP1_805.JPG,pending_human_review,
111,4,0.72792888,0.0929338,0.14720149,False,cubit_train_sp1_1005,train,images/SP1_1005.JPG,cubit_test_sp1_1015,test,images/SP1_1015.JPG,pending_human_review,
112,4,0.72498763,0.06507856,0.11637701,False,cubit_val_sp1_1626,val,images/SP1_1626.JPG,cubit_test_sp1_1636,test,images/SP1_1636.JPG,pending_human_review,
113,4,0.71900302,0.05378418,0.08854211,False,cubit_train_sp1_761,train,images/SP1_761.JPG,cubit_test_sp1_771,test,images/SP1_771.JPG,pending_human_review,
114,4,0.7139985,0.09691282,0.13025187,True,cubit_train_cr1_714,train,images/CR1_714.JPG,cubit_val_cr1_908,val,images/CR1_908.JPG,pending_human_review,
115,4,0.71255827,0.03113559,0.06293268,True,cubit_train_cr1_1455,train,images/CR1_1455.JPG,cubit_test_cr1_781,test,images/CR1_781.JPG,pending_human_review,
116,4,0.70876598,0.08411745,0.12986599,False,cubit_train_sp0_1534,train,images/SP0_1534.JPG,cubit_val_sp1_1518,val,images/SP1_1518.JPG,pending_human_review,
117,4,0.69703615,0.04848896,0.07126249,True,cubit_train_cr1_1425,train,images/CR1_1425.JPG,cubit_test_cr1_1790,test,images/CR1_1790.JPG,pending_human_review,
118,4,0.69264245,0.05310226,0.0651656,True,cubit_train_cr1_3052,train,images/CR1_3052.JPG,cubit_test_cr1_1790,test,images/CR1_1790.JPG,pending_human_review,
119,4,0.69150829,0.01457519,0.04207268,True,cubit_train_cr1_1421,train,images/CR1_1421.JPG,cubit_test_cr1_1427,test,images/CR1_1427.JPG,pending_human_review,
120,4,0.67930102,0.05444838,0.10094136,False,cubit_train_sp0_1871,train,images/SP0_1871.JPG,cubit_val_sp1_1861,val,images/SP1_1861.JPG,pending_human_review,
121,4,0.67767733,0.0355768,0.10394427,True,cubit_train_cr1_1689,train,images/CR1_1689.JPG,cubit_test_cr1_1684,test,images/CR1_1684.JPG,pending_human_review,
122,4,0.67127872,0.08600046,0.15759096,False,cubit_train_sp1_695,train,images/SP1_695.JPG,cubit_test_sp0_711,test,images/SP0_711.JPG,pending_human_review,
123,4,0.66378039,0.08454829,0.20281629,False,cubit_train_sp1_340,train,images/SP1_340.JPG,cubit_test_sp0_331,test,images/SP0_331.JPG,pending_human_review,
124,4,0.63719261,0.04748655,0.09778607,False,cubit_train_sp1_1385,train,images/SP1_1385.JPG,cubit_test_sp0_1398,test,images/SP0_1398.JPG,pending_human_review,
125,4,0.62507951,0.09828815,0.16602172,False,cubit_train_sp1_1327,train,images/SP1_1327.JPG,cubit_test_sp1_1339,test,images/SP1_1339.JPG,pending_human_review,
126,4,0.58583242,0.04039283,0.12609683,True,cubit_val_cr1_857,val,images/CR1_857.JPG,cubit_test_cr1_858,test,images/CR1_858.JPG,pending_human_review,
127,4,0.56993902,0.0738894,0.13733126,True,cubit_val_sp1_161,val,images/SP1_161.JPG,cubit_test_sp0_154,test,images/SP0_154.JPG,pending_human_review,
128,4,0.53898513,0.0678292,0.09352854,True,cubit_train_cr1_1426,train,images/CR1_1426.JPG,cubit_val_cr1_549,val,images/CR1_549.JPG,pending_human_review,
129,4,0.51176184,0.05127959,0.06657882,True,cubit_train_cr1_1792,train,images/CR1_1792.JPG,cubit_test_cr1_1427,test,images/CR1_1427.JPG,pending_human_review,
130,4,0.31931669,0.26882803,0.27670622,True,cubit_train_cr1_1009,train,images/CR1_1009.JPG,cubit_test_cr1_343,test,images/CR1_343.JPG,pending_human_review,
131,4,0.29535744,0.01767674,0.07741027,True,cubit_train_cr1_341,train,images/CR1_341.JPG,cubit_test_cr1_342,test,images/CR1_342.JPG,pending_human_review,
132,6,0.98056316,0.02367087,0.05804253,True,cubit_train_sp0_235,train,images/SP0_235.JPG,cubit_val_sp0_234,val,images/SP0_234.JPG,pending_human_review,
133,6,0.97729224,0.02376781,0.06055866,False,cubit_train_sp0_240,train,images/SP0_240.JPG,cubit_test_sp1_243,test,images/SP1_243.JPG,pending_human_review,
134,6,0.97368276,0.02480397,0.05483065,True,cubit_train_sp0_1231,train,images/SP0_1231.JPG,cubit_test_sp0_1230,test,images/SP0_1230.JPG,pending_human_review,
135,6,0.97059387,0.02831792,0.06208833,True,cubit_train_sp0_330,train,images/SP0_330.JPG,cubit_test_sp0_331,test,images/SP0_331.JPG,pending_human_review,
136,6,0.96960706,0.03037827,0.0712266,True,cubit_train_sp0_192,train,images/SP0_192.JPG,cubit_test_sp0_193,test,images/SP0_193.JPG,pending_human_review,
137,6,0.96863896,0.03152334,0.07759677,True,cubit_val_sp1_354,val,images/SP1_354.JPG,cubit_test_sp1_355,test,images/SP1_355.JPG,pending_human_review,
138,6,0.9668746,0.02456222,0.05735889,True,cubit_train_sp0_256,train,images/SP0_256.JPG,cubit_test_sp0_257,test,images/SP0_257.JPG,pending_human_review,
139,6,0.96646374,0.0313838,0.07326183,True,cubit_train_sp0_196,train,images/SP0_196.JPG,cubit_val_sp0_197,val,images/SP0_197.JPG,pending_human_review,
140,6,0.96636999,0.02892014,0.06781729,False,cubit_train_sp0_205,train,images/SP0_205.JPG,cubit_val_sp1_208,val,images/SP1_208.JPG,pending_human_review,
141,6,0.96555591,0.03179789,0.07388834,True,cubit_train_sp0_198,train,images/SP0_198.JPG,cubit_val_sp0_197,val,images/SP0_197.JPG,pending_human_review,
142,6,0.96548426,0.02442914,0.0574932,True,cubit_train_sp0_258,train,images/SP0_258.JPG,cubit_test_sp0_257,test,images/SP0_257.JPG,pending_human_review,
143,6,0.96113896,0.03173852,0.07140954,True,cubit_train_sp0_206,train,images/SP0_206.JPG,cubit_val_sp0_207,val,images/SP0_207.JPG,pending_human_review,
144,6,0.95984983,0.02814176,0.07511095,False,cubit_train_sp1_1209,train,images/SP1_1209.JPG,cubit_val_sp0_1222,val,images/SP0_1222.JPG,pending_human_review,
145,6,0.95943403,0.04009579,0.0749931,False,cubit_train_sp0_1286,train,images/SP0_1286.JPG,cubit_val_sp1_1274,val,images/SP1_1274.JPG,pending_human_review,
146,6,0.95892584,0.02576378,0.0592797,True,cubit_train_sp0_260,train,images/SP0_260.JPG,cubit_test_sp1_267,test,images/SP1_267.JPG,pending_human_review,
147,6,0.95804721,0.02835334,0.04539238,True,cubit_train_cr1_525,train,images/CR1_525.JPG,cubit_val_cr1_460,val,images/CR1_460.JPG,pending_human_review,
148,6,0.95703983,0.04266238,0.0798324,False,cubit_train_sp1_1354,train,images/SP1_1354.JPG,cubit_test_sp0_1367,test,images/SP0_1367.JPG,pending_human_review,
149,6,0.9566862,0.03126843,0.07466701,True,cubit_train_cr1_2092,train,images/CR1_2092.JPG,cubit_val_cr1_2085,val,images/CR1_2085.JPG,pending_human_review,
150,6,0.95572698,0.03195346,0.07861222,False,cubit_train_sp1_1209,train,images/SP1_1209.JPG,cubit_test_sp0_1221,test,images/SP0_1221.JPG,pending_human_review,
151,6,0.95364112,0.03215452,0.06738197,False,cubit_train_sp1_213,train,images/SP1_213.JPG,cubit_test_sp0_216,test,images/SP0_216.JPG,pending_human_review,
152,6,0.95241845,0.04457337,0.09636008,False,cubit_val_sp1_34,val,images/SP1_34.JPG,cubit_test_sp1_23,test,images/SP1_23.JPG,pending_human_review,
153,6,0.95224041,0.03249225,0.07151544,True,cubit_train_sp0_214,train,images/SP0_214.JPG,cubit_test_sp0_213,test,images/SP0_213.JPG,pending_human_review,
154,6,0.95123893,0.0298213,0.04886214,True,cubit_train_cr1_454,train,images/CR1_454.JPG,cubit_val_cr1_519,val,images/CR1_519.JPG,pending_human_review,
155,6,0.95030677,0.04178323,0.09887595,False,cubit_train_sp1_122,train,images/SP1_122.JPG,cubit_test_sp1_132,test,images/SP1_132.JPG,pending_human_review,
156,6,0.9491412,0.03132708,0.06801376,False,cubit_train_sp0_1236,train,images/SP0_1236.JPG,cubit_val_sp1_1215,val,images/SP1_1215.JPG,pending_human_review,
157,6,0.9488098,0.04887049,0.0966568,False,cubit_train_sp0_13,train,images/SP0_13.JPG,cubit_val_sp1_11,val,images/SP1_11.JPG,pending_human_review,
158,6,0.94812131,0.0604564,0.08133115,True,cubit_val_cr1_2848,val,images/CR1_2848.JPG,cubit_test_cr1_1471,test,images/CR1_1471.JPG,pending_human_review,
159,6,0.94527364,0.03400233,0.08757921,False,cubit_val_sp1_208,val,images/SP1_208.JPG,cubit_test_sp0_204,test,images/SP0_204.JPG,pending_human_review,
160,6,0.9433291,0.02675638,0.05526919,True,cubit_train_sp0_1240,train,images/SP0_1240.JPG,cubit_test_sp1_1228,test,images/SP1_1228.JPG,pending_human_review,
161,6,0.94098854,0.04731685,0.08776342,False,cubit_train_sp0_886,train,images/SP0_886.JPG,cubit_val_sp1_866,val,images/SP1_866.JPG,pending_human_review,
