sample_id,source,image_path,annotation_path,image_bytes,annotation_bytes,image_sha256,annotation_sha256,width,height,image_format,image_mode,image_status,annotation_status,readable
cif_0011,CiF-tiled,data/feasibility_v0/images/cif/cif_0011.jpg,data/feasibility_v0/annotations/cif/cif_0011.json,159180,36067,a0dd6c2ee82570e2c2f97e07e5e10f959ce8fa7b4d98a7377bca8b9fd92fa2bd,d2a84c14c52c42f58a876c85c8fa69d0e4847232dd7139ede863e91142e76a1d,1024,1024,JPEG,RGB,reused_identical,reused_identical,True
cif_0012,CiF-tiled,data/feasibility_v0/images/cif/cif_0012.jpg,data/feasibility_v0/annotations/cif/cif_0012.json,264253,879,99708914bc85ec5185733b392cc951a9141bf8474c79abf336eb926ef1ae31af,0bdbf20e103dc70cce023b886eaa894b7791bdb6969a9b3032e1344c86c2a87e,1024,1024,JPEG,RGB,reused_identical,reused_identical,True
cif_0013,CiF-tiled,data/feasibility_v0/images/cif/cif_0013.jpg,data/feasibility_v0/annotations/cif/cif_0013.json,140727,33861,7948cfcd6abd6cf118f19dd560c4ddb3c98961dd7a40d3de7dbf95d5d5887117,9ce1ffffb08fd616892e7abadc8e323b9e4f55792d28a4f26d6ca57d5cde7ea7,1024,1024,JPEG,RGB,reused_identical,reused_identical,True
cif_0014,CiF-tiled,data/feasibility_v0/images/cif/cif_0014.jpg,data/feasibility_v0/annotations/cif/cif_0014.json,177664,969,7bbb0bdb772b0f7ed0b632ba9c0c78db1adaeb5429e4aff981b1f92d80cee94e,097c50a3618bc21fe2230c6964aa5b1c19717a32b83e1bcaf565ac717ee3d960,1024,1024,JPEG,RGB,reused_identical,reused_identical,True
cif_0015,CiF-tiled,data/feasibility_v0/images/cif/cif_0015.jpg,data/feasibility_v0/annotations/cif/cif_0015.json,143330,12262,5a85318c94b58ba858da10a244cbed67f4b805d614e7eb8428b8b6654f8a11ab,4a29488832625015b6ca6f6e2b6603cdace13655c629d1d741b97fe6eb6f3936,1024,1024,JPEG,RGB,reused_identical,reused_identical,True
cif_0016,CiF-tiled,data/feasibility_v0/images/cif/cif_0016.jpg,data/feasibility_v0/annotations/cif/cif_0016.json,222860,969,5b92b75d83a1903a6a081e72e00a6a891f46ff92d07c044989921f730ed94c73,3ee8622c9cbe9a31fdb6e0fecf722198283cec7a95ce34a8dd28b99bcfb732b3,1024,1024,JPEG,RGB,reused_identical,reused_identical,True
cif_0017,CiF-tiled,data/feasibility_v0/images/cif/cif_0017.jpg,data/feasibility_v0/annotations/cif/cif_0017.json,172576,18688,56293da18e61182a0d011658c07389071e732a272f6143cb8c639264bde94531,51dcc68d3e8dd67efcbdc2529b9320e5ba667af8a82bd9e19ce62cbe734a6971,1024,1024,JPEG,RGB,reused_identical,reused_identical,True
cif_0018,CiF-tiled,data/feasibility_v0/images/cif/cif_0018.jpg,data/feasibility_v0/annotations/cif/cif_0018.json,129837,177682,9f799ca8c140d1fcf770d9793a9759704616301340506f66b4c779451f8d9d50,3a3c9880ec176c43e3ea6d168eb4d0fe47556f829c93ad74a82fc99465980a14,1024,1024,JPEG,RGB,reused_identical,reused_identical,True
cif_0019,CiF-tiled,data/feasibility_v0/images/cif/cif_0019.jpg,data/feasibility_v0/annotations/cif/cif_0019.json,218926,42571,cf0801099740680754f8174cdd12071538941db5723db681d41195461c18609a,41f1ef68c2df40082b6f796c738a937a1fc9785a00bcd1a450e485997345853a,1024,1024,JPEG,RGB,reused_identical,reused_identical,True
cif_0020,CiF-tiled,data/feasibility_v0/images/cif/cif_0020.jpg,data/feasibility_v0/annotations/cif/cif_0020.json,120513,12073,fbe5e3febfa79e39618d12ae51ef4f9d390056ec574fa99ce09c5d350fccf3e2,cd7827740fcf46aa0bb97a8d41c016c674596d8f7459acf79af3a75964d9e836,1024,1024,JPEG,RGB,reused_identical,reused_identical,True
cif_0021,CiF-tiled,data/feasibility_v0/images/cif/cif_0021.jpg,data/feasibility_v0/annotations/cif/cif_0021.json,198663,33276,23cdf6e53635c82e9ef14e164ccc75a9e9e8e6232d506090344cfefb4a9bbc1d,e3fda840156bee70a20163518f986ae7e41a29cb9e44c6082f2370219503fb06,1024,1024,JPEG,RGB,reused_identical,reused_identical,True
cif_0022,CiF-tiled,data/feasibility_v0/images/cif/cif_0022.jpg,data/feasibility_v0/annotations/cif/cif_0022.json,156117,47639,b48b4f40729f6a3136e004b1f743feb5d3dd510f4f8b34c456497024759e00d6,18cdc0fce30f4e96f227a28d35a92fead9acd23be228aaefa72d5bfd27d4cb65,1024,1024,JPEG,RGB,reused_identical,reused_identical,True
cif_0023,CiF-tiled,data/feasibility_v0/images/cif/cif_0023.jpg,data/feasibility_v0/annotations/cif/cif_0023.json,185219,4601,6bc9079460197ac2dcf09cd1d461b76953cdd5908304b7bb525fba3fea6db237,ec421d7535b4b9beb6047aa33087661e5a0344aa6b413c92c620fc35ee5d7e43,1024,1024,JPEG,RGB,reused_identical,reused_identical,True
cif_0024,CiF-tiled,data/feasibility_v0/images/cif/cif_0024.jpg,data/feasibility_v0/annotations/cif/cif_0024.json,201703,966,231aa7e43fd9525a8f344958b34141844713dfa82c57cb0805734dbac836d6be,aaf68c97f32f76ae48c522e916e1ea32bfdc85158a9fe60863b4c622260ec4bc,1024,1024,JPEG,RGB,reused_identical,reused_identical,True
cif_0025,CiF-tiled,data/feasibility_v0/images/cif/cif_0025.jpg,data/feasibility_v0/annotations/cif/cif_0025.json,120829,23908,4eb1bde79d9a89f2e28effd51f2c2b7e6a0df3823ad03e3ea3d9cd76e23dc0b9,d19b4d2c4c2d8d9c0f9030226af26661a50b70112fde3c5207a3ca9e7e56e331,1024,1024,JPEG,RGB,reused_identical,reused_identical,True
cif_0026,CiF-tiled,data/feasibility_v0/images/cif/cif_0026.jpg,data/feasibility_v0/annotations/cif/cif_0026.json,65996,2983,8d30ca35e30a2d679a9e885466f086d5d7308ca9d4a9a4bbb3fd0ba457bc5035,ed5a7a2efa8b25961061639d81f453d59b93eba01f7765f7f69874afa1a93827,1024,1024,JPEG,RGB,reused_identical,reused_identical,True
cif_0027,CiF-tiled,data/feasibility_v0/images/cif/cif_0027.jpg,data/feasibility_v0/annotations/cif/cif_0027.json,84278,31981,7b3eb56307482c3d878a4b0b324cea50a506a1b02d8fdc8adfe262ed3486e49d,c1c141f56bd9c07b1e5117a1b38da677444de359f1bcd1814eb1faf20a51970c,1024,1024,JPEG,RGB,reused_identical,reused_identical,True
cif_0028,CiF-tiled,data/feasibility_v0/images/cif/cif_0028.jpg,data/feasibility_v0/annotations/cif/cif_0028.json,83224,9326,f7eb89771630ed167625e8586081a9f419b3c927f4b92da011df9f1d64814ee2,237a64633b95a1565062c6931291171e616085d19852df6f300074fb65433725,1024,1024,JPEG,RGB,reused_identical,reused_identical,True
cif_0029,CiF-tiled,data/feasibility_v0/images/cif/cif_0029.jpg,data/feasibility_v0/annotations/cif/cif_0029.json,109839,8406,3a5b1735dcbcbde1f9eebfb7ac5dddbb7fd06c8ee66c506a49a7e5fc7905d67e,290ae761964c2637f043269f6a609443026768b2bcdc7db0dba78893bc2c802b,1024,1024,JPEG,RGB,reused_identical,reused_identical,True
cif_0030,CiF-tiled,data/feasibility_v0/images/cif/cif_0030.jpg,data/feasibility_v0/annotations/cif/cif_0030.json,160409,6085,e0d9ba3f14767d587c62c9c57440a67dcfa404d3e7c7066c38411878cc554bf0,0abf86b59853bc6c406ed1ebfd43610a09b77072ac60ec17678c0bf10d5c3341,1024,1024,JPEG,RGB,reused_identical,reused_identical,True
cif_0031,CiF-tiled,data/feasibility_v0/images/cif/cif_0031.jpg,data/feasibility_v0/annotations/cif/cif_0031.json,147582,7456,8e450f95854e4676707c6ef1a1eca7f7091513683589e5754a996765986ddf1e,e8644824b9d83f9335cc4bc53c49282687c8aa8297ea0241225361cae399b1ff,1024,1024,JPEG,RGB,reused_identical,reused_identical,True
cif_0032,CiF-tiled,data/feasibility_v0/images/cif/cif_0032.jpg,data/feasibility_v0/annotations/cif/cif_0032.json,127287,11308,6953c859c8818d687040bf13fc0ea0e362da7692e08ea0a49264b23aa76bca4f,4d44980534b671f7b6114fcc05ae9de463f5e00c3f7d9d4770c558849aa90dec,1024,1024,JPEG,RGB,reused_identical,reused_identical,True
cif_0033,CiF-tiled,data/feasibility_v0/images/cif/cif_0033.jpg,data/feasibility_v0/annotations/cif/cif_0033.json,92643,1568,df310e9e0d17353cec1eba9b38dc69f5adece7e6d717029212c94aee2ef10ef5,84fc4172127e7d0b809a25f4964abe8a9f9255065ba1b3e78aa4343a2569889c,1024,1024,JPEG,RGB,reused_identical,reused_identical,True
cif_0034,CiF-tiled,data/feasibility_v0/images/cif/cif_0034.jpg,data/feasibility_v0/annotations/cif/cif_0034.json,162712,20015,806ef195d95bf869cd142240c947b04d933e93c6a376b1afc94785dff9411f3a,257ab5bb7a7f01938af272fc863c53375327850be8a3a73a3cfc1f5160a89497,1024,1024,JPEG,RGB,reused_identical,reused_identical,True
cif_0035,CiF-tiled,data/feasibility_v0/images/cif/cif_0035.jpg,data/feasibility_v0/annotations/cif/cif_0035.json,67924,20431,b334b333d00fd459554dc10ba89e6da326384973305da889de9ba647ed96b6ca,c4644836e081f8ee3efd296c7d800341294e2e33b0ec6ab1bd2069f726ccb12d,1024,1024,JPEG,RGB,reused_identical,reused_identical,True
cif_0036,CiF-tiled,data/feasibility_v0/images/cif/cif_0036.jpg,data/feasibility_v0/annotations/cif/cif_0036.json,160932,47694,cd97adb98297fb8dea97d87a0f6cf1e777ce5689b1dc9db3cd9ef08c506e700f,3e7bbf1733106c562c46516b59f9f6b05e669c10b323eeb597ca372437ce7e09,1024,1024,JPEG,RGB,reused_identical,reused_identical,True
cif_0037,CiF-tiled,data/feasibility_v0/images/cif/cif_0037.jpg,data/feasibility_v0/annotations/cif/cif_0037.json,207553,17347,6983975ee3d1454408c17939e546c665f660643fb857461d174220df9b6fd721,8a9d91765b08d20bb51aa95e446eeaa8e8889ef53ad995cdf12f0db2ffaf7439,1024,1024,JPEG,RGB,reused_identical,reused_identical,True
cif_0038,CiF-tiled,data/feasibility_v0/images/cif/cif_0038.jpg,data/feasibility_v0/annotations/cif/cif_0038.json,73046,56040,a41bde07f3f05a872efeb637f84807649b00862ac6df58060d4871da1a12c15a,0bb2598e543a55dff5c556f70d05a7d85c83c4080ad26dda81e039139b33a337,1024,1024,JPEG,RGB,reused_identical,reused_identical,True
cif_0039,CiF-tiled,data/feasibility_v0/images/cif/cif_0039.jpg,data/feasibility_v0/annotations/cif/cif_0039.json,101975,2154,55dc01c34fc0cf678ef6489fb05111291e7a0bf90fa0340a25ecff8caf1eebc0,e313481fa3675a2e23b4c3914b94af200a41f54514798df26663f6df654e3058,1024,1024,JPEG,RGB,reused_identical,reused_identical,True
cif_0040,CiF-tiled,data/feasibility_v0/images/cif/cif_0040.jpg,data/feasibility_v0/annotations/cif/cif_0040.json,80969,21431,aebac25607b54943e7072aab0bc6d79898e880039cda159aae2313427a6f0c08,13b8c24a027dbb904747e909a79790bb94e4cdc78a28550c05bc629eb7f723ff,1024,1024,JPEG,RGB,reused_identical,reused_identical,True
cif_0041,CiF-tiled,data/feasibility_v0/images/cif/cif_0041.jpg,data/feasibility_v0/annotations/cif/cif_0041.json,226325,3746,1c40d24ad696a1e8dc61d977066b2f3908914505bb5d16e59bccbde9e0358d1b,82a2ece73648049baa3e6373677e3ac62bf785305e636f6b5129cde87be77eb8,1024,1024,JPEG,RGB,reused_identical,reused_identical,True
cif_0042,CiF-tiled,data/feasibility_v0/images/cif/cif_0042.jpg,data/feasibility_v0/annotations/cif/cif_0042.json,114240,9685,a761bd5e379eaab1b03fef3cda20a8b820b6bd00fae5dd5c5ca4ca261355ddf4,25b6b20080a646d3c110f697702272d729bf7658ff0e73fba421a39241b3e31b,1024,1024,JPEG,RGB,reused_identical,reused_identical,True
cif_0043,CiF-tiled,data/feasibility_v0/images/cif/cif_0043.jpg,data/feasibility_v0/annotations/cif/cif_0043.json,146509,1087,f9ffee5c67f06227e4d2d6c1d3dbaebce34dd4dcf4eccfe77ed414a282b3968e,38b0e598cb23e124e8ddc657977ce81165f58448501b33e3b26174735bdd1e44,1024,1024,JPEG,RGB,reused_identical,reused_identical,True
cif_0044,CiF-tiled,data/feasibility_v0/images/cif/cif_0044.jpg,data/feasibility_v0/annotations/cif/cif_0044.json,170525,18378,3016a083d1cdac1ca9613a719969b4cf110dacd6c42baefc868d08a6ce451155,ba5ad7925dbbf88dd826fbc77e4a96a62bb9768c676c77307ee848228d8a7333,1024,1024,JPEG,RGB,reused_identical,reused_identical,True
cif_0045,CiF-tiled,data/feasibility_v0/images/cif/cif_0045.jpg,data/feasibility_v0/annotations/cif/cif_0045.json,46910,10048,c3ae5beb14528faa170045f572d956eb4258073e32fe6d670360a765f266fe07,ec778740aae2eb08bf1956e11ea57f3b09dd4cb7f9035f89121e7749e1d3137e,1024,1024,JPEG,RGB,reused_identical,reused_identical,True
cif_0046,CiF-tiled,data/feasibility_v0/images/cif/cif_0046.jpg,data/feasibility_v0/annotations/cif/cif_0046.json,198087,33267,c9abe83d104bf20cef1a54afa2ca75ad9fae11d03d75a6361187923a2522c6a5,ad4bd7ff9a0d480a7647fc898c32794d28bfebedf8c4582a886ee43db2ac6a2b,1024,1024,JPEG,RGB,reused_identical,reused_identical,True
cif_0047,CiF-tiled,data/feasibility_v0/images/cif/cif_0047.jpg,data/feasibility_v0/annotations/cif/cif_0047.json,104010,4770,42f9941bc725d1a2c9f2e35b7a04b8b5cbfa9a193a68e2d4a169780db6e494eb,8918cb6cefd66fca76ef683098874c54dea673585f9cff6c5ed0e21656a52d1c,1024,1024,JPEG,RGB,reused_identical,reused_identical,True
cif_0048,CiF-tiled,data/feasibility_v0/images/cif/cif_0048.jpg,data/feasibility_v0/annotations/cif/cif_0048.json,225249,6637,b032a203b0e3508600cb02e9637d2a77e2dce50eb4f0da0ed4ebc3c53897d68a,dd7fcce8969a1e1685297c2daf67e2acbb0f9b930e86d042f006cbd1078e400a,1024,1024,JPEG,RGB,reused_identical,reused_identical,True
cif_0049,CiF-tiled,data/feasibility_v0/images/cif/cif_0049.jpg,data/feasibility_v0/annotations/cif/cif_0049.json,114812,8530,89817f0c2ef28a11e0b3c54d2c8d1b25e6a8d60ad189e2bcb1626e882d0f063f,808a23216a9645f71eabd8eb34f6dc428408a52e8420c787ae7ddd1b26d37886,1024,1024,JPEG,RGB,reused_identical,reused_identical,True
cif_0050,CiF-tiled,data/feasibility_v0/images/cif/cif_0050.jpg,data/feasibility_v0/annotations/cif/cif_0050.json,119728,39934,0b6299f82ca8a93b3119407ef77c3d72f679d0c72c40fe35ebb7ecd760986405,bbffc3f4008a55302700b0ed14412214873250528fab3124c25e548cc21ede9a,1024,1024,JPEG,RGB,reused_identical,reused_identical,True
cif_0051,CiF-tiled,data/feasibility_v0/images/cif/cif_0051.jpg,data/feasibility_v0/annotations/cif/cif_0051.json,126477,30837,56642d8f18ed08bb7e32861b9b5a2b121192645517baa44005dbb20d94138084,69d39bc2befb96aecca4887b7b6ad19bb9bdfc3280e7fe0757270c0f98a146a6,1024,1024,JPEG,RGB,reused_identical,reused_identical,True
cif_0052,CiF-tiled,data/feasibility_v0/images/cif/cif_0052.jpg,data/feasibility_v0/annotations/cif/cif_0052.json,92578,7417,dbee49ce911cbf19e034d09b611ad6911d8076a85a9616546468f997624743fa,80817f31bbbe401a3941736d772657e527c9d12349ca27bdd35ea12a276dec33,1024,1024,JPEG,RGB,reused_identical,reused_identical,True
cif_0053,CiF-tiled,data/feasibility_v0/images/cif/cif_0053.jpg,data/feasibility_v0/annotations/cif/cif_0053.json,154793,12097,ce6c3daf4b806369316b12f04598b83c6ed55ed8072dc4f720b545cd358b8c4b,ab1b3633a68ba011c47b5d064b228a6eea3e54a97bd883057765dcfaf4d4409c,1024,1024,JPEG,RGB,reused_identical,reused_identical,True
cif_0054,CiF-tiled,data/feasibility_v0/images/cif/cif_0054.jpg,data/feasibility_v0/annotations/cif/cif_0054.json,116258,11677,c601054e5b3f95fd5ed4fb3370abcd26c8eb79fa1241f667fa7b1cbdbc6a3ed5,6f329af2a891be3d9b28f3752597fed295eb89b8496068fdbf872cfc048c5378,1024,1024,JPEG,RGB,reused_identical,reused_identical,True
cif_0055,CiF-tiled,data/feasibility_v0/images/cif/cif_0055.jpg,data/feasibility_v0/annotations/cif/cif_0055.json,276911,63807,be2803e7c68f9ed2622509129bbd5e57f48c01a2e453974b117744c1203eda95,73682d846c737ef718a5a4b4f7baf75cc7efb3fb0e008eb794f9c46076ce5b0b,1024,1024,JPEG,RGB,reused_identical,reused_identical,True
cif_0056,CiF-tiled,data/feasibility_v0/images/cif/cif_0056.jpg,data/feasibility_v0/annotations/cif/cif_0056.json,156249,18377,179eb2e411a02ae8dbf7c9cba41d54e28f7a5e0749afe18bfc10bddc28f71723,d00fa89b8b240be8fc8d94febe60f953e15cbec88669739f5b6b0f94b0325c56,1024,1024,JPEG,RGB,reused_identical,reused_identical,True
cif_0057,CiF-tiled,data/feasibility_v0/images/cif/cif_0057.jpg,data/feasibility_v0/annotations/cif/cif_0057.json,100134,22060,7d65bed3f6e5c908f4786cf1f294254b3acf092c94217307eefc9d8690ab06e3,be1b125119a2799294204b1acb3e8a9a292f70031a66144215405f17e4abecdb,1024,1024,JPEG,RGB,reused_identical,reused_identical,True
cif_0058,CiF-tiled,data/feasibility_v0/images/cif/cif_0058.jpg,data/feasibility_v0/annotations/cif/cif_0058.json,145509,2605,39b27d008c813201fcc7008ab492c735d67e3999685949b408328d79816900a0,481cd0c5896c8e1397cecf621505a528c506a53c51c89d0d5064619b98d42809,1024,1024,JPEG,RGB,reused_identical,reused_identical,True
cif_0059,CiF-tiled,data/feasibility_v0/images/cif/cif_0059.jpg,data/feasibility_v0/annotations/cif/cif_0059.json,218123,53137,287173ce3ab15bc40cbd691b671a2ff0ae84cb02b0949a179c18afd1700dc546,a8bdab96dfba5611631a75215ddc53e3a7ec03c939b42480a1b378e869e023ba,1024,1024,JPEG,RGB,reused_identical,reused_identical,True
cif_0060,CiF-tiled,data/feasibility_v0/images/cif/cif_0060.jpg,data/feasibility_v0/annotations/cif/cif_0060.json,176887,15038,16136f79bb3f73e6b5f082b5bc6f93b80f9d710e89f75881b38b39466ab49d36,4f47bbbf65cca1858d8597f0d5eb0a1ebc555061ac163b9fccb908045ec034b7,1024,1024,JPEG,RGB,reused_identical,reused_identical,True
cif_0061,CiF-tiled,data/feasibility_v0/images/cif/cif_0061.jpg,data/feasibility_v0/annotations/cif/cif_0061.json,96823,14801,373dda3602f08647027e216cf6243226ca880f0fa6504bbccc41feed8d78fe06,33dfebf402660919e20c6f9c36a2a29e7e067287d8ae11b28b2c106bcdd85757,1024,1024,JPEG,RGB,reused_identical,reused_identical,True
cif_0062,CiF-tiled,data/feasibility_v0/images/cif/cif_0062.jpg,data/feasibility_v0/annotations/cif/cif_0062.json,176724,12750,839320eccce2f4d18542fcda594187c74db6e7bd90344647f7a9e612cf191c3a,6a092e76fb3d384ef7042e987c6e4a986b7e484049b69b525db256f4a28ffa46,1024,1024,JPEG,RGB,reused_identical,reused_identical,True
cif_0063,CiF-tiled,data/feasibility_v0/images/cif/cif_0063.jpg,data/feasibility_v0/annotations/cif/cif_0063.json,106086,9822,3647e300a647f93577a5929ebc78d0789ede7f8829d7e4a2d4b94045a477f536,7ee01c480853d04b14448052fed5cedb1d30e6924cd6c5d764e37f6874928503,1024,1024,JPEG,RGB,reused_identical,reused_identical,True
cif_0064,CiF-tiled,data/feasibility_v0/images/cif/cif_0064.jpg,data/feasibility_v0/annotations/cif/cif_0064.json,87135,10574,1ded7219be88300599833bd93248aa580b983290f1d3c907e553628776cc0f3c,b3760fcf03d4f18760d11b1c2f3f71a3b9399c097e65890a1351f817bdcf37a4,1024,1024,JPEG,RGB,reused_identical,reused_identical,True
cif_0065,CiF-tiled,data/feasibility_v0/images/cif/cif_0065.jpg,data/feasibility_v0/annotations/cif/cif_0065.json,105093,2831,f54f64c93e20ec83f63cade505cc6ea3bcca58b13802752ced0d777aa0f14884,876ae8f49d3174637f8ff28424db74574f47a5f980fccf9719b171773f46fda8,1024,1024,JPEG,RGB,reused_identical,reused_identical,True
cif_0066,CiF-tiled,data/feasibility_v0/images/cif/cif_0066.jpg,data/feasibility_v0/annotations/cif/cif_0066.json,182419,48167,7e6c85f82dc8ee510ee1f725ebbd2b59c48b397b52bbcee802a55b767cc95013,e018a94ab42cc6f76051243db64165b07392e367e446459cbb2014dce4c8b2da,1024,1024,JPEG,RGB,reused_identical,reused_identical,True
cif_0067,CiF-tiled,data/feasibility_v0/images/cif/cif_0067.jpg,data/feasibility_v0/annotations/cif/cif_0067.json,156301,59464,10f815a884556391d2b63b3490f689ae3528bffe2999a8c6be4e44a67cca965d,afda5561ad7d6d9d901b7764076968d83be155ad4797ccc5e8b1646d056d060d,1024,1024,JPEG,RGB,reused_identical,reused_identical,True
cif_0068,CiF-tiled,data/feasibility_v0/images/cif/cif_0068.jpg,data/feasibility_v0/annotations/cif/cif_0068.json,115764,8682,1c1455690052cf6cd7e6b6adfddf0c66e6f9cfce66c26bfb92c2222cf9950524,e634e648e1c5c3278912b3960e6c76ad0732290ad934e0b0f5e3129dace04363,1024,1024,JPEG,RGB,reused_identical,reused_identical,True
cif_0069,CiF-tiled,data/feasibility_v0/images/cif/cif_0069.jpg,data/feasibility_v0/annotations/cif/cif_0069.json,98133,6576,d5d739a325785147c5bf691c5123b84c7e953d1727aa8f192374906eda800c8e,4ced0f6b6100d2c7c1af717a767b56f29d676a37f49f6ac69b06bc597f5b3420,1024,1024,JPEG,RGB,reused_identical,reused_identical,True
cif_0070,CiF-tiled,data/feasibility_v0/images/cif/cif_0070.jpg,data/feasibility_v0/annotations/cif/cif_0070.json,109155,54686,82d1ffc4331ca57b016513e0b25362c1ecf7bfbaadba5d8155a464df2e2a58d8,27f2a6038a363a34b44d7994ed41513f1c7effca0c618598e7b92f2e258f90c1,1024,1024,JPEG,RGB,reused_identical,reused_identical,True
cif_0071,CiF-tiled,data/feasibility_v0/images/cif/cif_0071.jpg,data/feasibility_v0/annotations/cif/cif_0071.json,111122,17228,44780157654ad57c3f5989d3e2d9fc2e7ceac19ecb9ff652316195af18b7cd09,3040f4f3ed218ac8808596436a4e4ce89d21129815a159e21383417240d14add,1024,1024,JPEG,RGB,reused_identical,reused_identical,True
cif_0072,CiF-tiled,data/feasibility_v0/images/cif/cif_0072.jpg,data/feasibility_v0/annotations/cif/cif_0072.json,181839,23365,339889eae3cd50f3c8692c60e55531370c61192442198a57fc1786f8a8389d28,912963afa8e3182aa42229b8c701142ed0b4189d18b724cae6881baea9413d03,1024,1024,JPEG,RGB,reused_identical,reused_identical,True
cif_0073,CiF-tiled,data/feasibility_v0/images/cif/cif_0073.jpg,data/feasibility_v0/annotations/cif/cif_0073.json,149529,15376,635d6935a44756159b02d7c4ecf712c2ba8725fd5b208b723fde0302f8d7e3cc,860fbec17e681b29d3112e210a0e161318327802de83cad2a25ba1ac30bae931,1024,1024,JPEG,RGB,reused_identical,reused_identical,True
cif_0074,CiF-tiled,data/feasibility_v0/images/cif/cif_0074.jpg,data/feasibility_v0/annotations/cif/cif_0074.json,110918,6465,79435d32a34c0e96fc96d44825caade6692731b3ec711d30b87594e20705b706,ca66e795947450390eb7176e2eeff1159546d7fa7a6c9a79ffbd0612b3b04fc3,1024,1024,JPEG,RGB,reused_identical,reused_identical,True
cif_0075,CiF-tiled,data/feasibility_v0/images/cif/cif_0075.jpg,data/feasibility_v0/annotations/cif/cif_0075.json,135364,27706,b4822d4c3c292dfe2b7deaccfcd56a6f174376b0fde8dacc82d280711b660683,b594f6ccf0d2c53102ef8d5fd1a7e73103e5d2319888c7350a9bcbeabff26bc1,1024,1024,JPEG,RGB,reused_identical,reused_identical,True
